x,y,success
836.172,222.861,1
836.696,223.196,1
836.255,223.387,1
836.19,223.976,1
837.5,224.908,1
837.3,225.82,1
838.734,227.926,1
839.795,229.68,1
841.065,232.516,1
842.593,235.37,1
844.545,238.888,1
846.123,241.732,1
847.623,245.026,1
849.686,247.992,1
851.428,251.181,1
852.734,254.372,1
854.521,257.583,1
856.051,260.888,1
858.079,264.921,1
860.143,268.893,1
860.477,271.318,1
861.389,274.211,1
862.734,276.564,1
863.622,278.398,1
863.55,279.75,1
865.673,281.5,1
865.789,282.767,1
866.56,284.62,1
867.378,287.071,1
867.819,288.521,1
867.89,289.768,1
868.133,290.806,1
869.202,293.585,1
870.611,295.704,1
871.833,298.759,1
872.415,301.947,1
873.435,305.087,1
874.104,307.917,1
874.705,308.932,1
875.735,310.99,1
875.864,312.924,1
876.802,315.291,1
877.708,317.991,1
878.447,321.947,1
879.221,324.36,1
880.143,327.19,1
880.143,328.524,1
879.965,329.616,1
880.972,331.75,1
880.845,333.017,1
882.531,336.812,1
882.737,337.947,1
882.74,341.54,1
884.722,347,1
885,351.167,1
885.542,354.125,1
886.885,358.269,1
887.45,360.05,1
888.638,362.155,1
888.326,362.717,1
889.583,365,1
890.147,366.206,1
889.964,368.393,1
890.818,371.182,1
889.962,372.962,1
891.367,377.4,1
891.583,381.417,1
890.833,383.9,1
891.413,387.891,1
892.611,391.722,1
892.5,396,1
892.5,397,1
892.4,399.2,1
892.4,399.2,0
892.4,399.2,0
890.885,405.346,1
890.885,405.346,0
891.559,411.735,1
890.3,412,1
891.833,415.556,1
890.167,416.278,1
890.167,416.278,0
890.167,416.278,0
890.167,426.667,1
890.967,430.167,1
889.955,431.955,1
890.7,437.9,1
890,439.5,1
890.864,442.591,1
890.591,443.227,1
890,444,1
890.7,449.7,1
889.115,448.038,1
889.571,451,1
888.962,452.346,1
888.833,457.278,1
886.5,462.5,1
886.5,464.5,1
886.5,468,1
886.214,469.5,1
886.214,469.5,0
885.731,473.577,1
884.636,474.227,1
885.333,479.5,1
884.5,480.5,1
885.167,482.833,1
884.643,483.286,1
884.658,482.763,1
885,484,1
885.071,485.357,1
885.227,484.955,1
886.5,484.5,1
884.318,483.864,1
884.857,484.214,1
884.735,483.088,1
885.155,482.569,1
885.643,481.429,1
885.333,480.583,1
885.389,480.611,1
885.157,479.329,1
884.868,479.026,1
885.846,480.5,1
885.46,479.34,1
886.591,479.227,1
887.559,477.324,1
886.056,471.278,1
887.2,467.1,1
887.917,463.25,1
889.9,458.78,1
889.188,453.312,1
890.045,449.682,1
892.429,446.714,1
892,441.5,1
892.413,437.065,1
893.636,435.045,1
893.794,430.265,1
894.083,428.083,1
893.553,423.974,1
894.5,422.875,1
893.5,420.5,1
