x,y,success
704.56,437.029,1
704.69,436.993,1
704.488,437.197,1
704.377,437.771,1
704.772,438.345,1
704.92,439.545,1
705.16,440.65,1
705.108,442.782,1
705.463,444.905,1
705.556,447.537,1
705.654,449.939,1
705.847,452.055,1
706.071,453.954,1
705.552,455.382,1
705.632,457.403,1
705.736,459.352,1
705.572,461.771,1
705.805,464.189,1
706.282,466.91,1
706.411,469.382,1
706.653,471.657,1
706.388,473.547,1
706.321,474.596,1
706.345,475.618,1
706.048,476.321,1
706.166,476.967,1
706.625,478.244,1
706.519,479.765,1
706.043,481.796,1
706.024,483.251,1
705.429,483.926,1
705.164,484.72,1
705.725,487.109,1
706.025,488.941,1
705.919,490.72,1
705.573,493.503,1
705.462,496.022,1
705.025,497.731,1
705.193,498.779,1
704.822,499.131,1
704.479,499.915,1
703.788,501.163,1
703.417,502.83,1
701.986,504.693,1
701.195,505.858,1
700.485,507.149,1
700.409,507.964,1
699.568,508.277,1
698.747,509.095,1
698.211,509.476,1
697.711,510.439,1
697.663,511.598,1
696.69,513.589,1
695.63,515.408,1
693.949,517.239,1
693.1,518.882,1
692.324,519.198,1
691.573,519.671,1
691.333,519.793,1
691.171,519.398,1
690.703,519.562,1
690.408,519.878,1
689.821,520.836,1
689.142,521.969,1
688.518,523.949,1
687.777,525.825,1
686.893,527.896,1
686.518,530.509,1
685.68,532.547,1
684.974,534.677,1
684.453,536.576,1
684.146,537.979,1
683.279,538.603,1
681.565,539.393,1
679.876,540.006,1
678.929,541.141,1
677.012,542.016,1
676.248,542.81,1
675.305,543.754,1
674.742,544.594,1
673.881,545.952,1
673.386,547.917,1
672.5,549.66,1
671.454,551.33,1
670.328,552.753,1
669.09,553.75,1
667.63,554.527,1
666.617,555.232,1
665.947,555.868,1
665.338,556.217,1
664.518,556.563,1
663.42,556.684,1
662.354,557.157,1
661.162,557.957,1
659.904,559.161,1
658.481,561.305,1
655.881,562.988,1
653.929,564.854,1
652.506,566.402,1
651.766,567.779,1
651.299,568.545,1
650.015,568.973,1
649.08,570.089,1
648.096,571.356,1
647.547,572.428,1
647.525,573.142,1
647.549,573.818,1
647.745,574.503,1
647.906,575.272,1
647.722,575.698,1
647.445,575.427,1
646.867,575.454,1
646.829,575.531,1
647.093,575.668,1
647.68,575.423,1
648.459,575.605,1
