x,y,success
769.565,455.271,1
769.082,455.425,1
768.975,455.342,1
768.626,455.458,1
768.618,455.054,1
768.625,454.979,1
768.971,455.148,1
769.045,455.031,1
769.263,454.708,1
769.011,454.436,1
768.524,454.244,1
768.795,454.056,1
769.085,454.453,1
769.469,454.256,1
769.83,454.541,1
769.832,454.644,1
769.83,454.404,1
769.516,454.192,1
769.694,454.04,1
769.571,454.01,1
769.867,454.362,1
770.116,454.734,1
770.154,454.465,1
770.406,454.206,1
770.18,453.407,1
770.457,452.977,1
770.384,452.348,1
770.489,451.711,1
770.5,450.977,1
770.886,450.427,1
770.731,449.912,1
770.442,450.201,1
770.136,450.452,1
769.697,451.269,1
769.813,452.82,1
768.989,454.716,1
767.945,458.346,1
766.206,463.402,1
764.8,469.668,1
762.679,475.804,1
761.145,482.328,1
759.739,487.822,1
759.126,492.725,1
758.23,497.828,1
756.975,502.143,1
756.093,506.64,1
754.625,511.292,1
753.783,515.805,1
752.986,520.671,1
751.567,524.604,1
750.608,529.401,1
749.637,532.791,1
748.304,536.912,1
747.642,539.757,1
746.314,543.762,1
745.35,547.542,1
743.764,552.161,1
741.952,556.913,1
740.287,562.143,1
737.616,567.89,1
735.097,574.239,1
732.907,579.801,1
730.56,586.135,1
728.134,592.296,1
725.264,598.301,1
723.138,603.989,1
719.858,609.424,1
717.841,614.662,1
714.974,619.666,1
712.359,624.414,1
709.649,629.231,1
706.771,633.351,1
704.203,637.299,1
701.474,640.563,1
699.444,644.579,1
696.807,647.602,1
695.312,651.151,1
693.341,654.701,1
690.973,658.258,1
689.19,661.605,1
687.139,664.62,1
685.649,667.159,1
683.857,669.039,1
682.407,671.026,1
681.045,672.879,1
680.007,674.725,1
678.32,676.609,1
676.851,678.798,1
675.341,681.293,1
674.073,684.389,1
672.157,687.088,1
670.13,690.686,1
668.226,694.683,1
665.401,699.239,1
663.743,703.527,1
661.986,707.596,1
660.68,710.971,1
659.431,713.576,1
658.039,716.245,1
656.489,718.896,1
654.764,721.109,1
652.426,724.099,1
649.929,726.46,1
646.649,728.896,1
643.661,731.684,1
640.709,734.295,1
637.323,736.914,1
634.559,740.092,1
632.156,742.92,1
629.74,745.68,1
627.409,748.609,1
625.057,751.24,1
622.219,754.194,1
620.028,757.815,1
616.979,761.333,1
613.883,763.287,1
611.832,764.55,1
610.766,765.306,1
609.586,765.967,1
610.088,766.337,1
610.299,766.717,1
608.899,767.326,1
608.409,767.167,1
609.126,767.5,1
609.074,767.613,1
608.701,767.518,1
609.486,766.571,1
612.991,765.236,1
617.52,763.173,1
622.619,758.577,1
627.033,752.169,1
632.719,746.937,1
639.672,741.021,1
647.106,734.233,1
654.265,727.496,1
660.854,721.018,1
666.451,714.018,1
670.951,708.369,1
675.638,701.939,1
680.516,695.723,1
686.064,689.023,1
691.903,682.256,1
697.527,675.218,1
702.407,668.325,1
707.328,662.015,1
711.872,655.063,1
716.323,647.794,1
721.032,640.878,1
726.059,633.588,1
730.354,626.74,1
735.29,619.531,1
739.274,612.316,1
742.516,606.043,1
745.416,599.749,1
748.084,593.773,1
750.794,588.213,1
753.934,581.879,1
756.67,575.91,1
759.176,569.723,1
762.265,563.391,1
765.657,556.862,1
767.953,550.819,1
770.583,544.347,1
772.24,538.279,1
773.621,532.309,1
775.511,526.308,1
776.929,520.925,1
778.437,514.776,1
779.553,509.048,1
780.893,503.566,1
782.002,497.747,1
782.46,492.496,1
783.477,487.074,1
784.559,482.258,1
785.971,477.061,1
787.36,472.006,1
788.284,467.709,1
789.076,463.895,1
789.025,460.131,1
789.617,455.822,1
789.652,453.381,1
789.778,450.143,1
789.552,446.691,1
789.8,443.652,1
790.46,440.21,1
790.749,437.026,1
790.836,434.31,1
790.502,431.614,1
791.071,429.006,1
791.379,425.663,1
791.619,420.974,1
792.203,415.91,1
792.264,410.587,1
792.813,405.912,1
793.346,400.58,1
793.964,394.746,1
794.545,388.675,1
794.559,382.029,1
794.197,374.906,1
793.597,366.965,1
793.512,358.279,1
793.288,349.151,1
791.695,339.67,1
790.459,329.522,1
788.423,319.594,1
786.462,309.07,1
784.218,298.247,1
781.527,288.026,1
779.558,278.102,1
777.45,268.262,1
774.238,257.704,1
771.436,247.312,1
768.108,237.614,1
764.337,227.551,1
761.149,218.752,1
758.1,209.82,1
754.266,200.234,1
749.778,190.732,1
745.149,182.089,1
739.879,173.392,1
735.34,165.104,1
730.019,156.871,1
725.375,149.461,1
721.121,141.686,1
717.22,133.556,1
712.978,125.628,1
707.84,118.69,1
703.807,112.649,1
700.27,107.1,1
696.988,102.42,1
694.098,98.283,1
690.829,94.37,1
687.872,90.991,1
684.921,88.481,1
682.803,85.572,1
680.348,82.765,1
676.754,80.079,1
673.745,77.264,1
670.373,74.66,1
668.413,71.411,1
665.215,68.429,1
663.002,65.431,1
661.5,63.052,1
660.231,61.126,1
659.195,59.486,1
657.602,58.31,1
655.91,57.099,1
655.224,56.112,1
654.519,55.756,1
654.634,55.79,1
654.661,56.374,1
655.072,56.724,1
655.999,57.5,1
657.1,59.16,1
658.11,60.907,1
659.574,63.145,1
660.539,65.901,1
663.077,67.809,1
665.534,71.022,1
669.273,75.974,1
673.856,82.241,1
680.284,89.134,1
688.065,96.998,1
695.983,106.189,1
704.485,116.988,1
713.224,128.982,1
722.242,143.099,1
731.268,158.187,1
739.889,173.321,1
747.262,189.115,1
753.492,204.901,1
759.144,220.251,1
764.035,235.878,1
768.708,250.651,1
773.838,265.886,1
777.419,280.316,1
780.445,293.438,1
783.349,306.923,1
785.394,319.887,1
787.571,332.97,1
789.119,345.447,1
789.981,357.36,1
790.294,368.812,1
790.775,379.457,1
790.917,388.866,1
790.527,398.133,1
790.755,406.214,1
790.247,414.021,1
789.492,421.66,1
788.431,428.786,1
787.051,435.654,1
785.414,442.698,1
783.505,449.502,1
781.995,456.187,1
780.135,462.849,1
779.051,469.093,1
778.281,475.45,1
776.292,481.201,1
775.737,486.371,1
775.02,490.632,1
773.918,494.579,1
772.956,497.35,1
772.649,497.858,1
772.292,498.988,1
772.543,498.567,1
772.199,498.426,1
771.52,497.403,1
771.617,496.879,1
771.525,495.78,1
771.329,494.65,1
771.017,492.719,1
770.333,490.961,1
770.423,489.818,1
770.139,487.419,1
769.908,485.007,1
769.703,483.329,1
769.669,481.945,1
769.67,480.605,1
769.217,479.306,1
768.968,477.771,1
768.372,476.019,1
768.836,474.657,1
767.716,473.061,1
767.978,471.965,1
768.275,470.178,1
768.244,469.227,1
767.643,467.572,1
767.395,465.927,1
766.493,465.408,1
766.254,464.717,1
766.002,463.816,1
766.283,462.87,1
766.555,461.92,1
766.073,461.48,1
766.039,461.422,1
765.936,461.096,1
