x,y,success
650.896,443.613,1
650.504,443.655,1
650.6,443.622,1
650.44,443.269,1
651.092,443.617,1
650.432,443.437,1
650.875,443.625,1
651.009,443.413,1
650.843,443.652,1
650.764,443.526,1
651.033,443.697,1
650.651,443.598,1
650.391,443.369,1
650.486,443.306,1
650.388,443.473,1
650.246,443.092,1
650.056,443.231,1
650.016,443.267,1
649.992,443.093,1
650.303,443.404,1
650.277,443.319,1
649.661,443.219,1
650.197,443.008,1
649.212,442.26,1
649.615,443.209,1
649.652,443.171,1
649.689,442.783,1
649.866,443,1
649.812,442.376,1
650.152,441.668,1
650.154,441.449,1
650.388,441.672,1
650.154,441.362,1
650.491,441.446,1
649.92,441.591,1
649.937,441.526,1
650.609,441.744,1
650.024,442.148,1
649.77,442.335,1
650.038,442.254,1
649.355,442.38,1
649.167,442.543,1
648.921,442.273,1
648.979,442.407,1
649.388,442.698,1
649.453,442.788,1
649.97,442.479,1
650.033,442.45,1
650.132,442.291,1
649.715,442.401,1
649.432,442.3,1
649.343,442.622,1
649.127,443.091,1
648.894,443.096,1
649.197,443.299,1
648.796,443.229,1
649.015,443.509,1
649.305,443.379,1
649.187,443.274,1
649.111,443.138,1
648.592,442.664,1
649.01,442.705,1
648.348,442.632,1
648.465,442.774,1
648.119,442.458,1
647.957,442.432,1
647.941,442.87,1
647.715,442.411,1
647.521,442.389,1
647.452,442.91,1
647.786,443.089,1
648.01,443.448,1
647.915,443.371,1
648.302,443.439,1
648.172,443.417,1
648.069,442.884,1
647.751,442.45,1
647.654,441.192,1
647.822,440.727,1
648.171,440.206,1
648.651,439.892,1
649.604,438.488,1
649.492,437.602,1
649.504,437.042,1
649.11,437.515,1
648.671,437.147,1
649.438,437.43,1
650.677,436.956,1
651.4,436.839,1
652.388,436.504,1
653.217,437.369,1
653.412,438.1,1
654.027,437.898,1
654.466,437.962,1
654.768,437.768,1
654.841,438.493,1
654.74,438.591,1
653.898,438.541,1
653.914,438.671,1
653.143,439.225,1
652.725,439.112,1
652.492,438.715,1
651.851,438.552,1
651.61,438.727,1
650.866,438.713,1
650.807,438.31,1
650.732,438.409,1
650.288,438.471,1
650.126,438.718,1
650.667,438.863,1
650.605,438.875,1
650.639,439.105,1
650.764,439.668,1
651.367,439.696,1
650.832,440.383,1
651.387,440.391,1
650.887,440.555,1
650.439,440.836,1
650.827,440.79,1
649.253,441.241,1
647.927,440.832,1
645.434,440.833,1
644.297,440.738,1
643.401,440.725,1
642.847,440.335,1
642.72,440.297,1
642.789,440.375,1
642.586,440.586,1
642.136,440.579,1
642.046,440.741,1
641.206,441.45,1
640.335,441.274,1
639.256,440.807,1
638.112,440.868,1
637.108,441.011,1
635.167,441.703,1
633.68,441.263,1
631.415,440.33,1
629.808,440.435,1
627.496,439.628,1
625.614,439.637,1
624.079,440.446,1
622.634,440.361,1
621.527,440.034,1
621.045,439.866,1
618.949,439.856,1
617.462,439.881,1
618.254,440.287,1
619.764,440.734,1
620.443,440.11,1
620.288,439.356,1
620.143,438.887,1
619.756,438.618,1
618.915,438.587,1
618.712,438.975,1
619.221,439.658,1
618.855,439.682,1
618.687,438.794,1
618.383,439.124,1
618.213,438.758,1
618.263,438.667,1
617.146,438.722,1
617.413,438.94,1
617.344,439.283,1
616.818,439.736,1
617.193,439.76,1
617.181,439.081,1
617.14,438.969,1
616.931,439.328,1
616.708,438.979,1
616.418,438.668,1
616.179,438.942,1
616.061,439.102,1
616.071,439.094,1
616.284,439.772,1
616.126,439.441,1
615.717,439.915,1
615.429,440.225,1
615.074,440.572,1
614.894,440.754,1
614.916,440.249,1
615.321,440.509,1
615.106,440.482,1
614.855,439.642,1
614.83,439.427,1
614.286,439.105,1
614.433,438.495,1
614.916,438.603,1
614.527,438.12,1
615.209,437.877,1
614.581,437.562,1
615.25,437.42,1
615.908,437.224,1
616.164,437.672,1
616.15,438.238,1
616.738,438.846,1
616.555,439.697,1
616.042,440.259,1
616.52,441.162,1
616.068,442.141,1
616.052,441.448,1
616.543,441.115,1
618.361,440.433,1
619.173,440.576,1
618.466,440.829,1
617.203,439.806,1
619.691,439.165,1
621.896,439.203,1
623.812,439.266,1
627.262,439.119,1
630.22,440.036,1
631.826,439.961,1
633.599,441.875,1
634.428,443.513,1
637.689,443.583,1
642.002,443.682,1
646.181,443.914,1
649.437,443.671,1
650.16,442.5,1
649.075,442.201,1
648.309,441.897,1
648.574,442.178,1
649.99,443.236,1
650.173,443.878,1
651.113,444.541,1
651.698,444.481,1
651.41,444.08,1
651.817,443.736,1
651.485,442.835,1
652.024,441.991,1
652.514,441.426,1
653.514,441.077,1
653.721,441.289,1
654.305,441.832,1
654.138,442.335,1
654.903,441.824,1
655.006,441.561,1
655.116,441.441,1
654.672,441.51,1
653.126,441.693,1
652.272,442.64,1
650.759,441.563,1
649.74,441.474,1
649.414,441.629,1
649.165,441.413,1
649.251,441.173,1
648.563,440.398,1
647.783,440.045,1
647.471,439.893,1
647.476,439.897,1
646.803,439.316,1
647.067,439.514,1
646.485,440.379,1
645.896,441.688,1
645.73,442.343,1
645.247,443.177,1
644.214,444.097,1
643.86,445.112,1
643.699,445.69,1
643.038,446.222,1
642.505,446.399,1
641.814,446.186,1
641.566,446.005,1
641.577,446.026,1
641.058,446.01,1
640.216,446.165,1
639.533,446.333,1
638.433,446.486,1
637.386,446.135,1
635.395,445.774,1
633.993,445.104,1
632.8,445.033,1
631.959,444.486,1
630.573,443.481,1
629.324,442.485,1
628.411,441.739,1
627.303,441.034,1
628.796,440.303,1
631.354,440.269,1
632.939,440.724,1
633.566,441.078,1
634.6,441.172,1
635.995,441.438,1
636.992,442.407,1
636.935,442.53,1
636.485,442.198,1
634.542,442.83,1
630.906,443.383,1
627.781,444.47,1
626.656,444.22,1
627.359,442.495,1
628.257,441.398,1
627.84,441.007,1
627.565,440.838,1
628.439,440.015,1
629.899,439.045,1
631.549,439.136,1
634.86,439.368,1
638.453,438.382,1
641.886,437.923,1
643.505,438.638,1
644.054,439.233,1
644.068,440.312,1
643.051,440.015,1
642.061,439.833,1
640.984,438.882,1
640.396,439.236,1
638.119,439.206,1
636.726,438.367,1
635.636,438.128,1
635.515,437.666,1
636.003,437.977,1
636.718,438.06,1
636.641,438.804,1
636.311,438.972,1
635.332,438.812,1
635.312,438.797,1
635.495,437.765,1
635.058,437.759,1
635.373,437.566,1
634.904,437.722,1
634.212,438.109,1
634.059,438.921,1
634.31,439.295,1
633.94,440.411,1
633.871,440.026,1
633.896,439.83,1
634.243,438.704,1
633.85,438.369,1
633.065,438.616,1
633.045,437.808,1
632.872,437.967,1
633.295,438.876,1
633.013,438.701,1
632.354,438.368,1
632.485,438.318,1
632.432,438.482,1
631.541,438.786,1
631.277,438.931,1
630.637,439.471,1
629.969,439.768,1
629.541,440.403,1
630.262,440.495,1
630.638,440.796,1
629.829,441.366,1
628.087,442.462,1
626.191,442.971,1
625.088,443.974,1
624.344,444.214,1
622.996,444.908,1
621.978,444.692,1
621.029,445.352,1
620.159,445.31,1
618.204,445.956,1
614.632,445.4,1
611.682,446.017,1
609.626,445.963,1
608.426,446.807,1
607.956,447.505,1
608.158,447.272,1
607.751,447.283,1
606.988,446.856,1
607.603,447.345,1
608.002,447.715,1
608.645,449.439,1
608.386,450.644,1
608.796,450.932,1
608.317,451.985,1
608.535,451.899,1
609.29,452.567,1
609.128,452.565,1
610.168,452.762,1
610.183,452.782,1
609.912,452.204,1
609.898,452.124,1
610.37,450.747,1
610.67,450.675,1
610.214,449.924,1
610.121,449.235,1
609.827,449.55,1
609.133,449.452,1
608.615,449.634,1
608.263,449.192,1
607.753,448.551,1
608.054,448.892,1
608.096,449.087,1
607.9,448.857,1
607.772,449.16,1
607.712,448.298,1
606.639,448.12,1
606.051,448.341,1
605.903,448.083,1
605.165,448.251,1
605.196,448.02,1
605.632,447.995,1
605.677,448.73,1
605.575,448.5,1
605.032,449.573,1
605.348,449.524,1
605.25,449.565,1
605.633,449.616,1
605.51,450.126,1
605.527,450.038,1
606.823,450.892,1
605.94,451.16,1
606.305,451.28,1
606.891,451.47,1
606.966,451.094,1
607.12,450.814,1
606.722,451.083,1
607.266,450.329,1
606.862,450.34,1
606.5,450.191,1
606.651,449.958,1
606.713,449.548,1
605.763,448.973,1
604.874,448.029,1
604.69,448.514,1
604.791,448.879,1
604.564,448.523,1
604.922,447.591,1
604.969,448.288,1
604.867,448.771,1
604.403,448.81,1
604.252,448.748,1
603.759,448.956,1
603.689,448.995,1
604.692,449.788,1
604.879,450.358,1
606.054,450.188,1
608.133,450.885,1
609.345,451.427,1
608.305,452.119,1
605.973,453.05,1
604.894,454.547,1
603.29,456.345,1
600.445,457.19,1
597.711,457.132,1
594.875,457.436,1
594.561,457.1,1
592.811,456.95,1
589.287,457.684,1
587.692,457.596,1
587.167,457.718,1
586.698,456.928,1
585.606,456.752,1
584.483,456.882,1
582.279,455.525,1
581.451,455.323,1
581.385,452.297,1
582.127,450.824,1
582.066,451.75,1
581.965,452.633,1
581.684,454.588,1
581.432,455.64,1
581.182,457.67,1
581.63,457.787,1
581.785,458.914,1
581.675,459.562,1
582.508,460.255,1
583.954,461.79,1
584.103,462.478,1
583.573,464.86,1
583.463,464.854,1
582.954,464.553,1
583.639,464.301,1
582.741,464.537,1
582.376,462.777,1
582.394,462.496,1
582.823,462.558,1
581.833,462.346,1
581.553,462.899,1
582.013,461.685,1
582.71,462.255,1
583.743,461.816,1
585.181,460.989,1
584.735,461.555,1
584.457,462.315,1
583.705,462.493,1
584.056,462.338,1
584.119,462.532,1
583.856,462.792,1
583.967,463.364,1
583.28,463.164,1
583.76,463.411,1
584.249,464.122,1
585.016,464.428,1
586.099,464.584,1
587.294,464.925,1
588.655,464.798,1
589.157,464.404,1
588.058,464.358,1
589.485,464.274,1
590.569,463.155,1
592.335,463.092,1
593.6,462.884,1
595.227,462.765,1
596.765,463.591,1
598.452,462.896,1
599.433,463.892,1
600.598,463.504,1
603.673,463.863,1
605.705,464.504,1
608.198,465.468,1
