x,y,z,success
-74.0382,26.9275,-603.293,1
-74.1941,27.6164,-605.89,1
-73.9548,28.1851,-605.157,1
-73.8998,28.5359,-605.107,1
-73.5953,28.9319,-604.185,1
-73.5369,29.1356,-603.442,1
-73.6598,29.4549,-604.455,1
-73.6517,29.6197,-604.755,1
-73.6302,29.8192,-604.732,1
-73.5774,29.9572,-605.099,1
-73.4508,30.1524,-603.922,1
-73.6351,30.3167,-603.843,1
-73.7997,30.5689,-605.143,1
-73.691,30.5684,-603.848,1
-73.5929,30.7152,-603.996,1
-73.5905,30.9922,-604.313,1
-73.5548,31.3539,-604.008,1
-73.537,31.6281,-604.019,1
-73.406,31.8435,-604.398,1
-73.2203,31.9183,-602.618,1
-73.3343,32.0354,-604.014,1
-73.2973,32.0797,-602.931,1
-73.3231,32.223,-603.603,1
-73.2427,32.3361,-603.193,1
-73.3787,32.4613,-604.099,1
-73.3181,32.3493,-603.392,1
-73.3408,32.3526,-602.743,1
-73.3981,32.2507,-602.154,1
-73.4868,32.0133,-602.613,1
-73.5909,31.7756,-602.698,1
-73.6669,31.5,-603.519,1
-73.5843,31.3597,-603.065,1
-73.7147,31.2501,-603.574,1
-73.7954,31.1854,-603.218,1
-73.8491,31.1786,-604.657,1
-73.9943,31.108,-604.014,1
-74.1356,31.118,-604.484,1
-74.1439,31.1498,-604.055,1
-74.1999,30.9518,-604.065,1
-74.1975,30.9327,-604.48,1
-74.2081,30.7465,-603.9,1
-74.531,30.662,-605.056,1
-74.8543,30.6543,-605.213,1
-74.7242,30.5143,-604.936,1
-74.5907,30.4254,-604.292,1
-74.7319,30.4069,-605.21,1
-75.0057,30.3796,-605.779,1
-75.765,30.5482,-607.082,1
-76.8104,30.3977,-606.4,1
-78.0124,30.1001,-604.854,1
-78.6802,29.9182,-605.05,1
-78.8851,29.7244,-606.159,1
-78.9537,29.4063,-605.345,1
-79.0228,29.3716,-605.826,1
-79.1581,29.2233,-606.069,1
-79.2291,29.0967,-605.099,1
-79.1754,28.7683,-604.344,1
-79.1256,28.6373,-604.936,1
-78.9516,28.5012,-603.676,1
-78.7352,28.5626,-604.883,1
-78.6038,28.342,-604.026,1
-78.6497,28.3866,-604.156,1
-78.6492,28.2622,-603.785,1
-78.5697,27.95,-603.49,1
-78.3536,27.8783,-602.31,1
-78.1529,27.7745,-601.515,1
-78.0658,27.8159,-601.314,1
-77.9934,27.8982,-601.816,1
-77.9086,27.9648,-601.582,1
-77.8062,27.8993,-600.484,1
-77.8324,27.8978,-601.344,1
-77.8128,27.9153,-601.73,1
-77.7078,27.8543,-601.511,1
-77.5876,27.8122,-601.356,1
-77.7064,27.8876,-601.697,1
-77.6895,27.9217,-600.95,1
-77.7278,27.9119,-600.418,1
-77.7014,27.9887,-600.778,1
-77.5957,28.0495,-601.419,1
-77.4844,28.1172,-601.459,1
-77.4409,28.0442,-601.536,1
-77.5242,27.958,-601.046,1
-77.5748,27.9244,-601.062,1
-77.7453,27.9065,-601.541,1
-77.6938,27.7541,-601.235,1
-77.6299,27.7994,-601.666,1
-77.4323,27.7438,-600.298,1
-77.6489,27.7247,-601.857,1
-77.6295,27.6197,-600.662,1
-77.9235,27.4384,-601.372,1
-77.9714,27.2823,-601.168,1
-78.0775,27.2574,-601.44,1
-78.0422,27.3066,-602.261,1
-77.8948,27.4207,-601.797,1
-77.7,27.3393,-601.238,1
-77.6924,27.2215,-600.963,1
-77.8033,27.3898,-601.597,1
-77.7404,27.4891,-602.625,1
-77.419,27.5972,-601.925,1
-77.2111,27.6075,-601.522,1
-77.1098,27.716,-602.174,1
-76.7342,27.5689,-603.287,1
-76.6819,27.4517,-604.195,1
-76.5997,27.3137,-603.188,1
-76.5039,27.3815,-604.027,1
-76.0068,27.132,-604.499,1
-75.1373,26.5633,-602.915,1
