x,y,success
710.907,362.412,1
710.685,362.299,1
710.098,362.537,1
710.695,362.842,1
710.268,363.279,1
710.649,363.309,1
710.377,363.705,1
710.879,363.91,1
710.559,364.167,1
711.029,364.083,1
711.223,363.877,1
711.191,363.644,1
711.142,363.495,1
710.532,363.311,1
710.742,363.074,1
710.788,362.859,1
710.887,362.931,1
710.478,362.711,1
710.712,362.619,1
710.228,362.787,1
710.12,362.532,1
710.615,362.536,1
710.516,362.323,1
710.401,363.019,1
710.511,363.021,1
710.553,363.034,1
710.516,362.712,1
710.5,363.077,1
710.267,363.028,1
710.923,363.108,1
710.959,363.434,1
710.984,363.66,1
710.898,363.134,1
710.686,363.175,1
710.78,363.118,1
710.937,363.008,1
710.544,362.801,1
710.842,362.554,1
710.783,362.533,1
710.22,362.548,1
710.852,362.039,1
710.527,362.243,1
710.467,362.133,1
710.681,362.08,1
710.53,362.262,1
710.369,362.015,1
710.636,362.12,1
710.452,362.844,1
710.914,362.573,1
710.435,362.701,1
710.994,362.96,1
710.86,363.41,1
711.288,363.846,1
710.826,363.712,1
711.047,363.76,1
710.458,363.995,1
710.926,363.826,1
710.912,364.077,1
710.892,363.92,1
710.782,364.16,1
711.009,363.679,1
710.707,364.011,1
710.916,363.884,1
710.765,364.095,1
711.066,364.056,1
710.973,364.587,1
710.878,364.448,1
711.108,364.648,1
710.901,364.599,1
710.651,365.141,1
710.932,365.279,1
711.152,365.587,1
711.209,365.743,1
711.308,365.692,1
711.249,365.65,1
711.024,366.06,1
711.227,365.889,1
711.169,365.92,1
711.532,366.086,1
711.539,366.111,1
711.441,366.585,1
711.401,366.474,1
711.315,366.818,1
710.862,367.082,1
710.705,366.895,1
711.043,367.074,1
711.099,367.168,1
711.287,367.023,1
711.538,366.592,1
711.111,366.424,1
710.936,366.037,1
710.929,365.747,1
711,365.699,1
710.955,364.616,1
711.106,364.883,1
710.833,364.71,1
710.505,364.324,1
710.882,364.398,1
710.7,364.608,1
711.052,365.131,1
711.046,365.161,1
710.894,365.717,1
710.853,365.564,1
710.85,365.881,1
710.447,365.747,1
710.704,366.158,1
710.635,365.604,1
710.824,365.695,1
710.328,365.528,1
710.432,365.331,1
710.337,365.302,1
710.053,365.032,1
710.073,364.606,1
710.347,364.114,1
711.534,363.59,1
712.607,362.862,1
713.545,361.528,1
714.819,359.966,1
716.9,357.344,1
717.635,356.469,1
717.924,354.935,1
717.805,353.955,1
718.013,352.832,1
718.2,352.742,1
718.494,351.988,1
718.169,351.795,1
718.816,351.81,1
718.77,351.305,1
718.56,351.41,1
718.429,351.287,1
719.036,350.888,1
718.919,350.961,1
718.917,350.506,1
719.216,350.686,1
718.165,350.934,1
718.764,350.742,1
718.809,351.213,1
718.764,350.901,1
719.555,350.837,1
718.78,351.036,1
719.324,351.049,1
719.216,350.767,1
718.924,350.273,1
718.489,349.689,1
718.506,349.229,1
718.956,348.389,1
718.256,348.5,1
718.258,348.443,1
717.966,348.247,1
717.476,348.155,1
717.242,348.306,1
717.149,348.431,1
716.332,348.817,1
716.383,349.193,1
716.092,349.618,1
716.102,350.231,1
715.396,351.205,1
715.36,352.624,1
714.26,353.837,1
713.512,354.944,1
711.954,355.695,1
711.517,355.929,1
710.798,356.242,1
710.753,356.17,1
710.751,356.155,1
710.221,356.889,1
709.553,357.201,1
709.458,356.881,1
709.236,357.593,1
708.738,357.622,1
708.139,358.15,1
708.019,358.839,1
707.017,359.722,1
707.174,360.378,1
706.82,360.354,1
706.144,359.46,1
706.102,358.167,1
705.585,357.404,1
705.965,356.818,1
705.938,356.299,1
705.757,355.506,1
705.995,354.447,1
705.326,354.315,1
704.902,354.165,1
705.014,353.638,1
704.989,353.489,1
704.795,353.331,1
704.931,352.941,1
704.594,352.904,1
704.428,353.356,1
704.307,353.358,1
704.649,352.935,1
704.483,352.373,1
704.669,352.012,1
704.824,351.577,1
704.235,351.323,1
704.027,350.665,1
703.992,350.435,1
703.761,349.949,1
703.851,349.759,1
703.805,349.644,1
703.579,349.014,1
703.556,348.975,1
703.014,349.352,1
702.533,349.451,1
702.959,349.472,1
702.822,350.24,1
703.02,350.614,1
702.63,351.176,1
702.81,351.35,1
702.571,351.424,1
703.095,351.905,1
702.779,351.573,1
702.882,352.101,1
702.854,352.014,1
703.155,352.197,1
702.891,352.543,1
702.929,352.568,1
703.171,352.309,1
703.436,352.74,1
704.033,352.725,1
703.944,353.424,1
703.888,353.245,1
704.244,352.887,1
704.55,353.662,1
704.386,353.729,1
704.846,354.062,1
704.994,354.883,1
705.1,355.406,1
704.95,355.569,1
704.897,355.822,1
704.414,356.069,1
704.544,356.469,1
704.183,356.351,1
703.888,357.639,1
703.617,357.745,1
703.014,357.854,1
702.469,358.599,1
702.459,358.676,1
701.764,358.39,1
701.742,358.233,1
701.841,358.359,1
701.943,358.578,1
701.351,358.786,1
701.009,358.948,1
700.569,358.909,1
700.829,358.812,1
700.797,358.778,1
700.529,358.982,1
700.536,358.948,1
700.884,358.866,1
701.213,358.628,1
700.826,358.89,1
700.812,358.63,1
