x,y,success
1127.57,415.459,1
1127.32,415.507,1
1127.14,415.596,1
1127.19,416.047,1
1126.86,416.196,1
1127.15,416.39,1
1127.02,416.628,1
1127.09,417.044,1
1127.02,417.307,1
1127.02,417.251,1
1126.98,417.48,1
1126.86,417.371,1
1126.84,417.31,1
1127.03,417.826,1
1126.83,418.068,1
1127.21,418.07,1
1127.13,417.897,1
1127.13,417.916,1
1127.14,418.041,1
1127.24,417.926,1
1127.04,418.152,1
1127.34,418.434,1
1127.2,418.121,1
1127.32,418.096,1
1127.37,417.543,1
1127.01,417.867,1
1127.04,417.346,1
1127.18,417.578,1
1127.15,417.269,1
1127.2,417.029,1
1127.16,416.926,1
1127.1,417.166,1
1127.22,416.991,1
1127.2,416.821,1
1127.01,417.002,1
1127.11,417.403,1
1127.12,417.28,1
1127.18,417.701,1
1127.14,417.811,1
1127.29,417.743,1
1127.23,417.795,1
1127.33,417.473,1
1127.15,417.454,1
1127.21,417.638,1
1127.14,417.824,1
1127.13,417.841,1
1127.31,417.555,1
1127.29,417.688,1
1127.27,417.533,1
1126.87,417.641,1
1127.25,418.202,1
1127.16,418.306,1
1127.09,418.581,1
1127.11,418.603,1
1127.16,418.56,1
1127.2,418.376,1
1127.33,418.192,1
1129.03,418.088,1
1131.49,417.212,1
1134.65,416.333,1
1136.77,415.572,1
1136.63,415.667,1
1135.52,415.49,1
1134.95,415.073,1
1134.61,415.352,1
1134.88,414.686,1
1135.32,414.788,1
1135.92,414.401,1
1136.1,414.342,1
1136.1,414.558,1
1136.2,414.934,1
1136.03,414.902,1
1135.61,414.705,1
1135.19,414.243,1
1135.03,414.285,1
1135.03,414.543,1
1135.11,414.367,1
1134.99,414.604,1
1134.85,414.693,1
1134.52,414.482,1
1134.01,414.361,1
1133.67,414.018,1
1133.36,413.668,1
1132.94,413.497,1
1132.5,413.281,1
1132.38,412.739,1
1133.06,412.428,1
1133.97,411.982,1
1134.96,411.809,1
1135.12,411.502,1
1134.59,411.275,1
1133.58,410.558,1
1132.44,410.173,1
1131.85,410.318,1
1131.51,410.138,1
1131.19,409.839,1
1130.87,409.609,1
1130.31,409.579,1
1130.31,409.848,1
1129.85,410.039,1
1129.72,410.32,1
1130.18,410.756,1
1130.05,410.865,1
1129.82,411.044,1
1129.41,411.105,1
1128.87,410.457,1
1127.04,409.137,1
1124.04,407.138,1
1121.14,404.605,1
1118.22,402.33,1
1116.3,400.94,1
1115.3,399.84,1
1115.13,398.431,1
1115.41,397.82,1
1115.5,397.737,1
1114.94,397.449,1
1114.93,397.425,1
1114.27,397.344,1
1113.83,398.26,1
1113.95,399.067,1
1113.91,400.02,1
1114.47,400.523,1
1114.98,401.407,1
1115.44,402.04,1
1115.35,402.342,1
1115.41,402.803,1
1115.46,402.788,1
1115.83,402.799,1
1116.01,403.417,1
1115.92,403.628,1
1116.48,403.83,1
1116.29,403.963,1
1116.84,404.021,1
1116.62,404,1
1116.65,404.126,1
1116.82,403.895,1
1117.37,403.9,1
1117.73,404.049,1
1118.3,404.402,1
1119.01,405.028,1
1120.9,405.905,1
1122.8,407.726,1
1124.58,409.692,1
1127.14,411.074,1
1128.83,412.639,1
1130.04,413.367,1
1130.94,413.824,1
1131.51,413.691,1
1131.89,413.293,1
1131.63,412.521,1
1131.17,411.759,1
1130.38,411.228,1
1129.81,410.698,1
1129.63,410.365,1
1129.67,410.627,1
1129.82,410.618,1
1129.7,410.844,1
1129.81,411.549,1
1129.65,411.862,1
1131.45,411.92,1
1134.08,411.867,1
1134.71,412.113,1
1136.21,410.939,1
1134.96,410.364,1
1133.4,409.236,1
1130.81,409.105,1
