 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
1,236,255,255,255,933.462,291.182,933.462,291.182,1
2,162,255,255,255,994.093,291.494,994.093,291.494,1
3,369,255,255,255,776.104,358.522,776.104,358.522,1
4,302,255,255,255,873.864,373.768,873.864,373.768,1
5,399,255,255,255,1014.971,376.174,1014.971,376.174,1
6,444,255,255,255,1127.572,415.459,1127.572,415.459,1
7,286,255,255,255,856.657,431.063,856.657,431.063,1
8,395,255,255,255,700.852,438.847,700.852,438.847,1
9,287,255,255,255,1025.120,457.922,1025.120,457.922,1
10,171,255,255,255,864.336,479.219,864.336,479.219,1
11,419,255,255,255,787.342,510.490,787.342,510.490,1
12,275,255,255,255,947.358,563.002,947.358,563.002,1
13,48,255,255,255,1014.104,559.938,1014.104,559.938,1
14,228,255,255,255,933.044,291.224,933.044,291.224,2
15,149,255,255,255,994.366,291.567,994.366,291.567,2
16,389,255,255,255,776.130,358.595,776.130,358.595,2
17,12,255,255,255,959.417,349.750,959.417,349.750,2
18,5,255,255,255,950.700,350.100,950.700,350.100,2
19,2,255,255,255,953,354,953,354,2
20,308,255,255,255,873.497,373.919,873.497,373.919,2
21,392,255,255,255,1014.997,376.263,1014.997,376.263,2
22,448,255,255,255,1127.321,415.507,1127.321,415.507,2
23,288,255,255,255,856.483,431.247,856.483,431.247,2
24,404,255,255,255,700.446,438.985,700.446,438.985,2
25,2,255,255,255,691,448.500,691,448.500,2
26,296,255,255,255,1024.493,457.909,1024.493,457.909,2
27,159,255,255,255,864.267,479.582,864.267,479.582,2
28,405,255,255,255,787.162,510.641,787.162,510.641,2
29,10,255,255,255,968.500,505.800,968.500,505.800,2
30,286,255,255,255,946.920,563.196,946.920,563.196,2
31,64,255,255,255,1014.359,559.562,1014.359,559.562,2
32,233,255,255,255,932.766,291.285,932.766,291.285,3
33,137,255,255,255,994.639,291.748,994.639,291.748,3
34,369,255,255,255,775.950,358.774,775.950,358.774,3
35,303,255,255,255,873.724,374.015,873.724,374.015,3
36,397,255,255,255,1014.510,376.432,1014.510,376.432,3
37,438,255,255,255,1127.137,415.596,1127.137,415.596,3
38,277,255,255,255,856.215,431.381,856.215,431.381,3
39,408,255,255,255,700.328,438.836,700.328,438.836,3
40,284,255,255,255,1024.525,458.229,1024.525,458.229,3
41,148,255,255,255,864.135,479.642,864.135,479.642,3
42,399,255,255,255,786.911,510.568,786.911,510.568,3
43,1,255,255,255,968.500,505.500,968.500,505.500,3
44,1,255,255,255,973.500,507.500,973.500,507.500,3
45,293,255,255,255,946.834,563.295,946.834,563.295,3
46,51,255,255,255,1014.363,559.343,1014.363,559.343,3
47,246,255,255,255,932.447,291.602,932.447,291.602,4
48,143,255,255,255,994.374,292.059,994.374,292.059,4
49,397,255,255,255,776.001,359.021,776.001,359.021,4
50,297,255,255,255,873.551,374.056,873.551,374.056,4
51,400,255,255,255,1014.420,376.645,1014.420,376.645,4
52,430,255,255,255,1127.186,416.047,1127.186,416.047,4
53,274,255,255,255,856.102,431.383,856.102,431.383,4
54,406,255,255,255,700.298,439.086,700.298,439.086,4
55,282,255,255,255,1024.340,458.496,1024.340,458.496,4
56,155,255,255,255,863.965,479.829,863.965,479.829,4
57,400,255,255,255,786.832,510.890,786.832,510.890,4
58,4,255,255,255,968.750,506.750,968.750,506.750,4
59,277,255,255,255,946.168,563.381,946.168,563.381,4
60,57,255,255,255,1014.219,559.798,1014.219,559.798,4
61,242,255,255,255,932.277,291.785,932.277,291.785,5
62,144,255,255,255,994.472,292.035,994.472,292.035,5
63,379,255,255,255,775.532,359.302,775.532,359.302,5
64,11,255,255,255,961.500,354.955,961.500,354.955,5
65,402,255,255,255,1014.239,376.478,1014.239,376.478,5
66,300,255,255,255,873.420,374.400,873.420,374.400,5
67,444,255,255,255,1126.858,416.196,1126.858,416.196,5
68,268,255,255,255,855.881,431.493,855.881,431.493,5
69,401,255,255,255,700.026,439.246,700.026,439.246,5
70,1,255,255,255,690.500,448.500,690.500,448.500,5
71,287,255,255,255,1024.120,458.713,1024.120,458.713,5
72,160,255,255,255,864.100,479.769,864.100,479.769,5
73,399,255,255,255,786.883,510.916,786.883,510.916,5
74,11,255,255,255,968.955,506.864,968.955,506.864,5
75,281,255,255,255,946.354,563.536,946.354,563.536,5
76,34,255,255,255,1014.353,559.588,1014.353,559.588,5
77,241,255,255,255,932.442,291.761,932.442,291.761,6
78,150,255,255,255,994.260,292.353,994.260,292.353,6
79,387,255,255,255,775.596,359.133,775.596,359.133,6
80,4,255,255,255,958,350,958,350,6
81,1,255,255,255,959.500,353.500,959.500,353.500,6
82,407,255,255,255,1014.090,376.795,1014.090,376.795,6
83,308,255,255,255,873.640,374.581,873.640,374.581,6
84,437,255,255,255,1127.150,416.390,1127.150,416.390,6
85,283,255,255,255,856.147,431.542,856.147,431.542,6
86,405,255,255,255,700.038,439.389,700.038,439.389,6
87,282,255,255,255,1024.099,459.046,1024.099,459.046,6
88,150,255,255,255,864.020,479.953,864.020,479.953,6
89,402,255,255,255,786.836,511.269,786.836,511.269,6
90,3,255,255,255,967.500,507.500,967.500,507.500,6
91,2,255,255,255,961,516.500,961,516.500,6
92,271,255,255,255,946.375,563.766,946.375,563.766,6
93,46,255,255,255,1013.413,560.174,1013.413,560.174,6
94,239,255,255,255,932.839,291.964,932.839,291.964,7
95,148,255,255,255,994.372,292.264,994.372,292.264,7
96,390,255,255,255,775.733,359.233,775.733,359.233,7
97,314,255,255,255,873.490,374.682,873.490,374.682,7
98,388,255,255,255,1014.575,376.982,1014.575,376.982,7
99,436,255,255,255,1127.016,416.628,1127.016,416.628,7
100,272,255,255,255,855.787,432.103,855.787,432.103,7
101,393,255,255,255,700.047,439.317,700.047,439.317,7
102,271,255,255,255,1024.345,459.109,1024.345,459.109,7
103,3,255,255,255,685.167,460.167,685.167,460.167,7
104,155,255,255,255,864.210,480.332,864.210,480.332,7
105,401,255,255,255,786.774,511.171,786.774,511.171,7
106,273,255,255,255,946.038,563.841,946.038,563.841,7
107,42,255,255,255,1013.357,560.238,1013.357,560.238,7
108,5,255,255,255,1024.500,616.500,1024.500,616.500,7
109,248,255,255,255,933.028,292.230,933.028,292.230,8
110,144,255,255,255,994.236,292.292,994.236,292.292,8
111,21,255,255,255,963.071,337.500,963.071,337.500,8
112,380,255,255,255,775.724,359.466,775.724,359.466,8
113,1,255,255,255,960.500,353.500,960.500,353.500,8
114,303,255,255,255,873.546,374.744,873.546,374.744,8
115,384,255,255,255,1014.523,377.359,1014.523,377.359,8
116,450,255,255,255,1127.087,417.044,1127.087,417.044,8
117,286,255,255,255,856.035,432.381,856.035,432.381,8
118,395,255,255,255,699.743,439.611,699.743,439.611,8
119,273,255,255,255,1024.493,459.178,1024.493,459.178,8
120,153,255,255,255,864.088,480.363,864.088,480.363,8
121,407,255,255,255,786.537,511.318,786.537,511.318,8
122,288,255,255,255,946.083,563.955,946.083,563.955,8
123,45,255,255,255,1013.811,560.678,1013.811,560.678,8
124,249,255,255,255,932.512,292.315,932.512,292.315,9
125,142,255,255,255,993.796,292.831,993.796,292.831,9
126,386,255,255,255,775.769,359.264,775.769,359.264,9
127,5,255,255,255,958.300,351.300,958.300,351.300,9
128,302,255,255,255,873.394,374.805,873.394,374.805,9
129,404,255,255,255,1014.158,377.337,1014.158,377.337,9
130,455,255,255,255,1127.023,417.307,1127.023,417.307,9
131,267,255,255,255,855.515,432.257,855.515,432.257,9
132,400,255,255,255,699.505,439.808,699.505,439.808,9
