x,y,success
680.728,241.33,1
680.71,241.475,1
681.184,241.88,1
681.871,242.671,1
683.103,243.897,1
683.823,245.976,1
684.381,247.15,1
684.746,248.929,1
685.835,250.476,1
687.903,253.766,1
692.822,259.266,1
700.581,268.45,1
708.795,279.96,1
715.826,292.965,1
721.581,306.356,1
725.987,318.894,1
729.166,330.941,1
731.694,342.472,1
734.397,354.267,1
737.168,366.556,1
739.95,379.67,1
742.523,393.832,1
745.084,408.09,1
746.44,422.514,1
747.295,436.532,1
748.075,450.149,1
748.368,462.927,1
747.826,474.683,1
746.964,484.68,1
745.421,493.378,1
744.307,500.529,1
743.777,506.191,1
743.12,511.105,1
742.696,516.016,1
741.669,521.177,1
740.317,526.199,1
738.572,531.121,1
736.122,535.825,1
734.593,540.114,1
733.082,543.311,1
731.97,545.955,1
731.086,547.808,1
730.549,549.084,1
730.011,550.312,1
729.619,550.586,1
729.343,551.104,1
729.049,551.626,1
729.077,552.709,1
728.507,553.266,1
728.229,554.358,1
727.525,555.416,1
727.017,555.661,1
726.816,556.048,1
726.692,555.912,1
726.602,555.715,1
726.921,555.233,1
726.931,553.627,1
727.155,551.678,1
727.453,548.224,1
728.426,541.946,1
730.006,533.527,1
732.413,523.633,1
734.543,512.684,1
736.841,500.791,1
738.617,487.413,1
739.968,474.673,1
740.821,462.027,1
741.34,450.114,1
741.798,438.419,1
741.452,426.651,1
741.071,414.644,1
740.636,401.883,1
739.438,388.6,1
738.494,375.429,1
736.837,362.883,1
734.5,350.82,1
731.789,339.121,1
728.319,326.698,1
723.527,312.048,1
718.236,295.93,1
711.685,278.78,1
704.162,261.139,1
696.798,245.023,1
690.361,230.39,1
684.378,216.93,1
680.095,205.443,1
675.386,196.024,1
670.396,187.382,1
664.007,178.557,1
655.714,169.135,1
646.362,158.959,1
635.577,148.702,1
626.926,139.246,1
619.279,131.625,1
613.653,124.785,1
608.242,119.075,1
604.484,114.016,1
598.491,109.886,1
592.102,104.929,1
583.889,99.6,1
573.608,93.5,1
563.108,88.057,1
553.595,82.595,1
545.364,77.742,1
538.191,74.555,1
533.145,70.21,1
526.65,69.95,1
524.291,66.455,1
522,62.667,1
515.667,60.333,1
511.548,59.548,1
505.5,56.5,1
498.5,52,1
498.5,52,0
498.5,52,0
498.5,52,0
498.5,52,0
498.5,52,0
498.5,52,0
498.5,52,0
498.5,52,0
507.5,56.5,1
507.5,56.5,0
507.5,56.5,0
507.5,56.5,0
507.5,56.5,0
507.5,56.5,0
507.5,56.5,0
504.5,60.5,1
504.5,60.5,0
503,61,1
503,61,0
503,61,0
503,61,0
503,61,0
503,61,0
490.19,55.489,1
497.645,60.776,1
506.94,66.12,1
516.07,71.442,1
525.045,77.491,1
534.078,83.25,1
543.972,89.465,1
553.711,97.336,1
563.7,105.576,1
573.82,114.86,1
584.038,124.358,1
594.02,134.857,1
605.306,145.648,1
617.218,156.657,1
628.466,168.946,1
639.939,181.004,1
649.64,193.225,1
659.164,204.483,1
667.423,215.726,1
675.472,226.552,1
680.793,236.89,1
685.905,246.747,1
690.669,256.685,1
694.979,266.23,1
699.659,277.404,1
703.254,288.849,1
705.779,298.193,1
707.133,304.779,1
707.473,308.711,1
706.928,310.559,1
705.601,310.966,1
704.454,310.175,1
702.988,308.342,1
702.059,306.007,1
701.266,303.741,1
700.771,301.819,1
700.631,299.652,1
700.844,298.141,1
701.294,297.511,1
701.647,298.075,1
702.641,298.872,1
703.115,299.978,1
704.058,301.201,1
704.276,302.978,1
704.725,304.141,1
705.402,305.81,1
705.799,307.013,1
706.218,307.595,1
706.643,308.294,1
706.525,308.514,1
706.313,308.483,1
705.691,307.881,1
705.426,307.247,1
704.98,306.45,1
704.315,305.79,1
704.081,305.351,1
