x,y,z,success
-130.621,64.6951,-610.633,1
-130.668,65.0748,-612.508,1
-130.412,64.6018,-609.329,1
-130.805,65.4683,-614.859,1
-129.957,64.5651,-607.285,1
-131.095,65.2653,-614.676,1
-130.192,64.7064,-609.663,1
-130.244,64.3795,-608.082,1
-130.625,64.9063,-612.153,1
-130.353,64.7272,-610.385,1
-130.646,65.0139,-612.774,1
-130.672,65.0202,-612.539,1
-130.534,64.9637,-611.722,1
-130.14,64.56,-608.291,1
-130.57,64.6758,-610.381,1
-130.294,64.4288,-609.396,1
-129.991,64.3109,-607.66,1
-130.14,64.5988,-609.721,1
-130.52,64.9315,-611.996,1
-129.857,64.789,-609.081,1
-130.687,64.7842,-611.438,1
-130.789,65.2146,-613.386,1
-130.674,64.9678,-611.67,1
-130.207,65.0801,-610.709,1
-130.181,65.0876,-610.647,1
-130.344,65.0479,-611.018,1
-130.033,64.7214,-609.208,1
-130.663,64.9696,-611.552,1
-130.722,65.0534,-612.676,1
-130.28,64.9162,-610.993,1
-130.245,64.7145,-609.71,1
-130.795,64.9293,-612.486,1
-129.988,64.4161,-607.998,1
-129.545,64.2131,-605.489,1
-130.027,64.2413,-607.929,1
-130.09,64.191,-608.424,1
-130.668,64.7638,-613.81,1
-130.109,64.0091,-608.106,1
-130.2,64.1174,-608.705,1
-130.656,64.4845,-612.02,1
-129.615,63.9371,-605.847,1
-129.398,63.7803,-604.282,1
-129.588,64.1996,-606.615,1
-129.585,63.9938,-605.506,1
-130.225,64.5008,-610.269,1
-129.705,64.1011,-606.86,1
-129.665,64.1037,-606.51,1
-130.468,64.8565,-611.904,1
-129.439,64.0708,-605.014,1
-130.107,65.035,-611.128,1
-130.414,65.5246,-614.312,1
-129.689,64.8333,-608.223,1
-129.335,64.8401,-606.219,1
-130.114,66.0958,-614.824,1
-129.554,65.3655,-609.569,1
-128.937,64.4951,-604.096,1
-129.532,65.5127,-611.1,1
-129.503,65.4013,-609.524,1
-129.796,65.9755,-613.16,1
-130.035,65.6302,-612.204,1
-129.245,65.6628,-610.014,1
-129.448,65.6963,-610.354,1
-129.263,65.5979,-609.558,1
-129.177,65.5421,-609.243,1
-128.935,65.0015,-606.023,1
-129.08,64.7682,-606.21,1
-129.079,64.6587,-605.816,1
-128.583,63.9623,-601.706,1
-129.313,64.9474,-608.256,1
-129.153,64.5557,-605.921,1
-129.226,64.5009,-606.42,1
-128.71,63.8689,-602.253,1
-129.377,64.7719,-608.809,1
-129.99,64.5151,-610.162,1
-129.962,64.6808,-611.807,1
-130.058,64.1387,-610.67,1
-130.068,63.906,-609.812,1
-129.453,63.4495,-606.196,1
-129.172,63.5418,-606.776,1
-129.413,63.4436,-607.267,1
-129.389,63.3279,-606.976,1
-129.343,63.2667,-606.233,1
-129.864,63.8032,-611.079,1
-129.233,63.7009,-609.897,1
-129.357,63.2979,-608.618,1
-129.439,62.8215,-607.284,1
-130.116,63.3449,-613.707,1
-129.731,63.0926,-611.791,1
-129.864,63.5042,-613.793,1
-129.793,63.3423,-613.164,1
-129.368,63.1823,-610.921,1
-129.269,62.9935,-609,1
-128.856,63.0233,-608.503,1
-129.012,62.9599,-609.009,1
-128.726,62.7721,-607.493,1
-128.825,62.8919,-608.328,1
-128.767,63.2487,-609.782,1
-129.327,63.4369,-612.095,1
-128.339,62.7472,-605.664,1
-128.846,63.1492,-609.093,1
-128.356,62.5933,-604.744,1
-128.142,62.9618,-605.81,1
-128.252,62.9269,-605.85,1
-128.513,63.0435,-606.629,1
-128.561,62.7063,-605.248,1
-128.754,63.7202,-610.179,1
-128.358,63.1614,-605.943,1
-128.757,63.8727,-610.488,1
-128.434,63.668,-607.153,1
-128.492,63.6699,-606.575,1
-128.007,63.6768,-604.913,1
-128.404,63.5922,-606.397,1
-128.304,63.6641,-606.866,1
-128.51,63.5596,-607.439,1
-128.195,62.9964,-604.011,1
-129.388,63.9131,-611.717,1
-129.138,63.2098,-608.034,1
-128.901,62.7212,-604.83,1
-129.182,62.6177,-605.554,1
-129.705,63.3875,-611.267,1
-128.97,62.531,-605.139,1
-129.248,62.238,-605.237,1
-129.264,62.4796,-607.145,1
-129.29,62.0164,-605.752,1
-129.149,61.8236,-605.177,1
-129.294,61.7092,-605.3,1
-129.711,62.3835,-610.032,1
-129.734,61.9303,-607.718,1
-129.602,62.7791,-611.299,1
-129.724,62.6679,-610.886,1
-129.173,63.0205,-611.169,1
-128.893,62.7412,-609.064,1
-128.834,62.8123,-608.966,1
-128.651,63.2114,-609.202,1
-128.471,63.0421,-608.237,1
-128.811,63.5615,-611.739,1
-128.657,63.7946,-612.352,1
-128.314,63.6322,-610.384,1
