 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
99,342,255,255,255,1062.424,384.094,1062.424,384.094,3
100,2,255,255,255,1117,379.500,1117,379.500,3
101,7,255,255,255,1111.786,380.929,1111.786,380.929,3
102,4,255,255,255,1159,384,1159,384,3
103,5,255,255,255,1184.900,390.700,1184.900,390.700,3
104,123,255,255,255,765.159,401.801,765.159,401.801,3
105,6,255,255,255,1174.333,408.333,1174.333,408.333,3
106,2,255,255,255,1183.500,409,1183.500,409,3
107,505,255,255,255,628.007,423.551,628.007,423.551,3
108,465,255,255,255,957.814,436.571,957.814,436.571,3
109,231,255,255,255,778.262,460.703,778.262,460.703,3
110,9,255,255,255,1138.833,465.833,1138.833,465.833,3
111,270,255,255,255,693.096,477.148,693.096,477.148,3
112,1,255,255,255,1066.500,498.500,1066.500,498.500,3
113,11,255,255,255,1037.500,546.409,1037.500,546.409,3
114,21,255,255,255,1080.929,547.833,1080.929,547.833,3
115,92,255,255,255,1050.293,558.185,1050.293,558.185,3
116,88,255,255,255,939.216,552.125,939.216,552.125,3
117,212,255,255,255,881.340,561.123,881.340,561.123,3
118,8,255,255,255,1034.375,569.375,1034.375,569.375,3
119,2,255,255,255,1082,571,1082,571,3
120,3,255,255,255,1028.167,573.833,1028.167,573.833,3
121,7,255,255,255,1058.500,576.500,1058.500,576.500,3
122,5,255,255,255,1051.900,578.900,1051.900,578.900,3
123,29,255,255,255,1007.741,582.534,1007.741,582.534,3
124,141,255,255,255,1039.394,593.174,1039.394,593.174,3
125,1,255,255,255,1013.500,592.500,1013.500,592.500,3
126,5,255,255,255,1064.500,593.500,1064.500,593.500,3
127,1,255,255,255,1022.500,594.500,1022.500,594.500,3
128,1,255,255,255,1020.500,595.500,1020.500,595.500,3
129,1,255,255,255,1044.500,602.500,1044.500,602.500,3
130,46,255,255,255,1019.935,606.957,1019.935,606.957,3
131,7,255,255,255,1036.357,625.786,1036.357,625.786,3
132,1,255,255,255,1012.500,632.500,1012.500,632.500,3
133,3,255,255,255,916.833,637.833,916.833,637.833,3
134,13,255,255,255,921.654,646.654,921.654,646.654,3
135,21,255,255,255,1025.690,646.643,1025.690,646.643,3
136,1,255,255,255,1021.500,651.500,1021.500,651.500,3
137,5,255,255,255,1024.300,188.100,1024.300,188.100,4
138,1,255,255,255,1057.500,212.500,1057.500,212.500,4
139,16,255,255,255,1067.750,237.562,1067.750,237.562,4
140,153,255,255,255,872.696,245.598,872.696,245.598,4
141,153,255,255,255,933.513,246.690,933.513,246.690,4
142,7,255,255,255,1097.500,255.500,1097.500,255.500,4
143,1,255,255,255,1085.500,303.500,1085.500,303.500,4
144,7,255,255,255,895.500,311.643,895.500,311.643,4
145,25,255,255,255,1164.860,332.300,1164.860,332.300,4
146,345,255,255,255,765.796,336.051,765.796,336.051,4
147,193,255,255,255,688.194,340.148,688.194,340.148,4
148,7,255,255,255,1147.500,351.786,1147.500,351.786,4
149,5,255,255,255,1162.700,350.900,1162.700,350.900,4
150,357,255,255,255,957.287,365.965,957.287,365.965,4
151,7,255,255,255,1104.786,360.357,1104.786,360.357,4
152,7,255,255,255,1128.929,365.071,1128.929,365.071,4
153,8,255,255,255,1167,375,1167,375,4
154,344,255,255,255,1062.491,383.956,1062.491,383.956,4
155,1,255,255,255,1174.500,375.500,1174.500,375.500,4
156,1,255,255,255,1172.500,376.500,1172.500,376.500,4
157,2,255,255,255,1185,376.500,1185,376.500,4
158,3,255,255,255,1111.500,380.500,1111.500,380.500,4
159,3,255,255,255,1158.833,383.833,1158.833,383.833,4
160,4,255,255,255,1186,388,1186,388,4
161,128,255,255,255,765.250,401.844,765.250,401.844,4
162,2,255,255,255,1174.500,409,1174.500,409,4
163,12,255,255,255,1183,411,1183,411,4
164,498,255,255,255,627.725,423.524,627.725,423.524,4
165,1,255,255,255,1176.500,416.500,1176.500,416.500,4
166,5,255,255,255,1183.900,418.900,1183.900,418.900,4
167,451,255,255,255,957.584,436.833,957.584,436.833,4
168,224,255,255,255,778.192,460.777,778.192,460.777,4
169,4,255,255,255,1137.500,464.750,1137.500,464.750,4
170,1,255,255,255,1140.500,468.500,1140.500,468.500,4
171,266,255,255,255,692.883,477.105,692.883,477.105,4
172,1,255,255,255,1174.500,481.500,1174.500,481.500,4
173,1,255,255,255,1044.500,543.500,1044.500,543.500,4
174,13,255,255,255,1038.346,545.423,1038.346,545.423,4
175,22,255,255,255,1079.727,548.773,1079.727,548.773,4
176,95,255,255,255,938.732,552.363,938.732,552.363,4
177,103,255,255,255,1051.607,557.859,1051.607,557.859,4
178,224,255,255,255,880.848,561.321,880.848,561.321,4
179,1,255,255,255,1038.500,566.500,1038.500,566.500,4
180,8,255,255,255,1034.375,569.375,1034.375,569.375,4
181,1,255,255,255,1030.500,571.500,1030.500,571.500,4
182,9,255,255,255,1027.722,574.056,1027.722,574.056,4
183,13,255,255,255,1060.346,575.038,1060.346,575.038,4
184,2,255,255,255,1013,579.500,1013,579.500,4
185,15,255,255,255,1005.500,583.500,1005.500,583.500,4
186,39,255,255,255,1046.115,589.013,1046.115,589.013,4
187,2,255,255,255,1062,586.500,1062,586.500,4
188,2,255,255,255,998.500,589,998.500,589,4
189,85,255,255,255,1032.429,597.018,1032.429,597.018,4
190,2,255,255,255,1053,592,1053,592,4
191,2,255,255,255,1014,592.500,1014,592.500,4
192,9,255,255,255,1065.167,593.056,1065.167,593.056,4
193,26,255,255,255,1020.808,606.885,1020.808,606.885,4
194,4,255,255,255,1037.500,607,1037.500,607,4
195,68,255,255,255,1023.500,650.441,1023.500,650.441,4
196,2,255,255,255,1067,234.500,1067,234.500,5
197,161,255,255,255,872.730,245.469,872.730,245.469,5
198,152,255,255,255,933.289,246.605,933.289,246.605,5
199,8,255,255,255,1097.750,253.500,1097.750,253.500,5
200,333,255,255,255,765.608,336.029,765.608,336.029,5
201,11,255,255,255,1164.955,333.045,1164.955,333.045,5
202,205,255,255,255,688.266,340.110,688.266,340.110,5
203,4,255,255,255,1163,351,1163,351,5
204,9,255,255,255,1147.500,352.833,1147.500,352.833,5
205,353,255,255,255,957.392,366.157,957.392,366.157,5
206,10,255,255,255,1104.900,360.200,1104.900,360.200,5
207,9,255,255,255,1128.611,364.944,1128.611,364.944,5
208,1,255,255,255,1161.500,369.500,1161.500,369.500,5
209,1,255,255,255,1159.500,370.500,1159.500,370.500,5
210,11,255,255,255,1185.136,374.682,1185.136,374.682,5
211,9,255,255,255,1166.944,374.833,1166.944,374.833,5
212,343,255,255,255,1061.966,383.754,1061.966,383.754,5
213,5,255,255,255,1173.100,376.100,1173.100,376.100,5
214,8,255,255,255,1112.750,380.875,1112.750,380.875,5
215,2,255,255,255,1100,383.500,1100,383.500,5
216,4,255,255,255,1158.500,384,1158.500,384,5
217,3,255,255,255,1184.500,390.500,1184.500,390.500,5
218,104,255,255,255,765.250,402.413,765.250,402.413,5
219,499,255,255,255,627.594,423.207,627.594,423.207,5
220,459,255,255,255,957.256,436.297,957.256,436.297,5
221,224,255,255,255,778.116,460.821,778.116,460.821,5
222,14,255,255,255,1138.714,465.857,1138.714,465.857,5
223,262,255,255,255,692.519,477.187,692.519,477.187,5
224,1,255,255,255,1174.500,481.500,1174.500,481.500,5
225,2,255,255,255,1058,535.500,1058,535.500,5
226,2,255,255,255,1051,537.500,1051,537.500,5
227,18,255,255,255,1039.778,544.278,1039.778,544.278,5
228,1,255,255,255,1059.500,542.500,1059.500,542.500,5
229,20,255,255,255,1079.750,548.350,1079.750,548.350,5
230,88,255,255,255,1051.943,557.250,1051.943,557.250,5
231,80,255,255,255,939.012,552.288,939.012,552.288,5
232,206,255,255,255,880.879,561.228,880.879,561.228,5
233,2,255,255,255,1038,566.500,1038,566.500,5
234,8,255,255,255,1034.375,569.375,1034.375,569.375,5
235,3,255,255,255,1028.167,573.500,1028.167,573.500,5
236,9,255,255,255,1059.167,575.944,1059.167,575.944,5
237,1,255,255,255,1012.500,579.500,1012.500,579.500,5
238,1,255,255,255,1050.500,579.500,1050.500,579.500,5
239,9,255,255,255,1005.500,583.500,1005.500,583.500,5
240,5,255,255,255,1052.500,585.500,1052.500,585.500,5
241,2,255,255,255,1062,586.500,1062,586.500,5
242,6,255,255,255,999.500,588.667,999.500,588.667,5
243,155,255,255,255,1034.635,596.274,1034.635,596.274,5
244,1,255,255,255,1012.500,593.500,1012.500,593.500,5
245,5,255,255,255,1064.500,593.500,1064.500,593.500,5
246,2,255,255,255,1010,602.500,1010,602.500,5
247,5,255,255,255,1017.300,608.900,1017.300,608.900,5
248,5,255,255,255,1013.700,610.900,1013.700,610.900,5
249,1,255,255,255,1034.500,628.500,1034.500,628.500,5
250,2,255,255,255,1031,630.500,1031,630.500,5
251,3,255,255,255,929.167,638.833,929.167,638.833,5
252,3,255,255,255,923.500,645.500,923.500,645.500,5
253,6,255,255,255,1025.333,645.833,1025.333,645.833,5
254,13,255,255,255,1021.269,651.654,1021.269,651.654,5
255,14,255,255,255,1018.643,656.786,1018.643,656.786,5
256,1,255,255,255,992.500,172.500,992.500,172.500,6
257,5,255,255,255,1069.300,235.100,1069.300,235.100,6
258,165,255,255,255,872.973,245.470,872.973,245.470,6
259,152,255,255,255,933.612,246.671,933.612,246.671,6
260,1,255,255,255,1098.500,245.500,1098.500,245.500,6
261,1,255,255,255,1098.500,250.500,1098.500,250.500,6
262,1,255,255,255,1097.500,257.500,1097.500,257.500,6
263,4,255,255,255,894.750,311.750,894.750,311.750,6
264,345,255,255,255,765.880,335.996,765.880,335.996,6
265,7,255,255,255,1164.071,333.214,1164.071,333.214,6
266,187,255,255,255,688.190,340.163,688.190,340.163,6
267,1,255,255,255,781.500,338.500,781.500,338.500,6
268,9,255,255,255,1163.056,350.833,1163.056,350.833,6
269,9,255,255,255,1146.944,351.944,1146.944,351.944,6
270,363,255,255,255,957.186,366.087,957.186,366.087,6
271,11,255,255,255,1105.591,360.136,1105.591,360.136,6
272,15,255,255,255,1127.300,364.900,1127.300,364.900,6
273,2,255,255,255,1162,369.500,1162,369.500,6
274,1,255,255,255,1166.500,369.500,1166.500,369.500,6
275,18,255,255,255,1169.944,375.611,1169.944,375.611,6
276,338,255,255,255,1062.065,384.009,1062.065,384.009,6
277,3,255,255,255,1184.833,377.167,1184.833,377.167,6
278,4,255,255,255,1117,379.500,1117,379.500,6
279,8,255,255,255,1112,381,1112,381,6
280,1,255,255,255,1106.500,381.500,1106.500,381.500,6
281,7,255,255,255,1159.214,384.071,1159.214,384.071,6
282,114,255,255,255,765.360,402.175,765.360,402.175,6
283,5,255,255,255,1174.100,407.700,1174.100,407.700,6
284,510,255,255,255,627.947,423.527,627.947,423.527,6
285,3,255,255,255,1183.167,413.833,1183.167,413.833,6
286,461,255,255,255,957.372,436.665,957.372,436.665,6
287,227,255,255,255,777.808,460.901,777.808,460.901,6
288,1,255,255,255,1135.500,463.500,1135.500,463.500,6
289,273,255,255,255,692.932,477.291,692.932,477.291,6
290,1,255,255,255,1057.500,535.500,1057.500,535.500,6
291,1,255,255,255,1065.500,536.500,1065.500,536.500,6
292,4,255,255,255,1044,541.500,1044,541.500,6
293,7,255,255,255,1037.786,546.500,1037.786,546.500,6
294,20,255,255,255,1080.200,548.550,1080.200,548.550,6
295,43,255,255,255,1058.174,553.523,1058.174,553.523,6
296,74,255,255,255,938.932,552.770,938.932,552.770,6
297,211,255,255,255,880.969,561.500,880.969,561.500,6
298,70,255,255,255,1047.786,560.686,1047.786,560.686,6
299,11,255,255,255,1034.136,569.955,1034.136,569.955,6
300,2,255,255,255,1081,571.500,1081,571.500,6
301,17,255,255,255,1059.382,575.853,1059.382,575.853,6
302,1,255,255,255,1028.500,573.500,1028.500,573.500,6
303,18,255,255,255,1008.222,581.889,1008.222,581.889,6
304,163,255,255,255,1035.101,595.837,1035.101,595.837,6
305,2,255,255,255,1052,586.500,1052,586.500,6
306,2,255,255,255,1014,592.500,1014,592.500,6
307,2,255,255,255,1064,593.500,1064,593.500,6
308,6,255,255,255,1013.167,600.667,1013.167,600.667,6
309,2,255,255,255,1044,603.500,1044,603.500,6
310,2,255,255,255,1012,607.500,1012,607.500,6
311,6,255,255,255,1018.500,608.667,1018.500,608.667,6
312,14,255,255,255,1035.571,627,1035.571,627,6
313,1,255,255,255,915.500,639.500,915.500,639.500,6
314,64,255,255,255,1024.328,648.234,1024.328,648.234,6
315,12,255,255,255,1018.917,658.083,1018.917,658.083,6
316,10,255,255,255,1024,188.500,1024,188.500,7
317,2,255,255,255,1067,234.500,1067,234.500,7
318,158,255,255,255,872.696,245.304,872.696,245.304,7
319,158,255,255,255,932.886,246.165,932.886,246.165,7
320,2,255,255,255,1098,250.500,1098,250.500,7
321,1,255,255,255,1097.500,257.500,1097.500,257.500,7
322,1,255,255,255,519.500,289.500,519.500,289.500,7
323,4,255,255,255,1163.750,327.750,1163.750,327.750,7
324,331,255,255,255,765.627,335.835,765.627,335.835,7
325,14,255,255,255,1165.714,333.357,1165.714,333.357,7
326,208,255,255,255,688.332,339.942,688.332,339.942,7
327,9,255,255,255,1147.833,352.056,1147.833,352.056,7
328,4,255,255,255,1163,351,1163,351,7
329,356,255,255,255,957.447,366.020,957.447,366.020,7
330,4,255,255,255,1161,369.500,1161,369.500,7
331,1,255,255,255,1166.500,369.500,1166.500,369.500,7
332,8,255,255,255,1184.750,375.500,1184.750,375.500,7
333,346,255,255,255,1062.234,383.532,1062.234,383.532,7
334,12,255,255,255,1169.500,375.167,1169.500,375.167,7
335,2,255,255,255,1170,379.500,1170,379.500,7
336,5,255,255,255,1111.900,380.700,1111.900,380.700,7
337,5,255,255,255,1100.300,383.900,1100.300,383.900,7
338,8,255,255,255,1159,384,1159,384,7
339,87,255,255,255,764.822,402.431,764.822,402.431,7
340,3,255,255,255,1174.500,407.500,1174.500,407.500,7
341,500,255,255,255,627.594,423.552,627.594,423.552,7
342,3,255,255,255,1176.167,414.833,1176.167,414.833,7
343,453,255,255,255,957.372,436.513,957.372,436.513,7
344,230,255,255,255,777.752,460.530,777.752,460.530,7
345,8,255,255,255,1138.250,465.250,1138.250,465.250,7
346,270,255,255,255,692.793,477.156,692.793,477.156,7
347,15,255,255,255,1040.833,544.100,1040.833,544.100,7
348,18,255,255,255,1080.222,548.278,1080.222,548.278,7
349,85,255,255,255,1052.700,556.571,1052.700,556.571,7
350,83,255,255,255,939.620,552.018,939.620,552.018,7
351,2,255,255,255,1032,549.500,1032,549.500,7
352,210,255,255,255,881.200,561.086,881.200,561.086,7
353,8,255,255,255,1034.375,569.375,1034.375,569.375,7
354,1,255,255,255,1080.500,571.500,1080.500,571.500,7
355,1,255,255,255,1028.500,573.500,1028.500,573.500,7
356,13,255,255,255,1059.885,575.346,1059.885,575.346,7
357,14,255,255,255,1005.071,583.857,1005.071,583.857,7
358,244,255,255,255,1037.102,595.537,1037.102,595.537,7
359,4,255,255,255,1061.500,586,1061.500,586,7
360,5,255,255,255,1065.500,592.700,1065.500,592.700,7
361,2,255,255,255,725,603.500,725,603.500,7
362,1,255,255,255,1016.500,603.500,1016.500,603.500,7
363,6,255,255,255,1038,623,1038,623,7
364,10,255,255,255,1033.200,630.200,1033.200,630.200,7
365,1,255,255,255,1034.500,636.500,1034.500,636.500,7
366,2,255,255,255,915,640.500,915,640.500,7
367,57,255,255,255,1025.518,646.816,1025.518,646.816,7
368,1,255,255,255,951.500,650.500,951.500,650.500,7
