x,y,z,success
-43.0308,-15.5012,-586.294,1
-43.0194,-15.4468,-585.443,1
-43.0762,-15.5635,-586.351,1
-43.077,-15.7037,-586.298,1
-43.1442,-15.9669,-586.798,1
-43.1917,-16.2656,-586.219,1
-43.2424,-16.5984,-588.009,1
-43.2208,-17.1751,-586.019,1
-43.3813,-17.8251,-587.701,1
-43.3343,-18.4601,-588.044,1
-43.3033,-19.1794,-588.344,1
-43.3277,-19.6178,-587.384,1
-43.1768,-19.9997,-588.063,1
-43.0932,-20.3198,-588.588,1
-42.9415,-20.6749,-587.503,1
-42.9012,-21.0968,-587.579,1
-42.946,-21.696,-587.905,1
-42.9279,-22.3884,-588.029,1
-42.9642,-23.1152,-588.295,1
-43.0532,-23.8654,-588.078,1
-43.0432,-24.4491,-589.041,1
-42.9638,-24.8318,-589.591,1
-42.8876,-25.1818,-588.572,1
-42.8798,-25.25,-589.345,1
-42.9079,-25.4227,-589.668,1
-42.8429,-25.5174,-589.079,1
-42.9676,-25.7078,-588.776,1
-42.9672,-26.3186,-589.246,1
-42.8086,-26.9476,-589.408,1
-42.6498,-27.3137,-588.881,1
-42.4437,-27.5162,-588.688,1
-42.3728,-27.5663,-587.269,1
-42.4279,-28.4484,-587.872,1
-42.597,-28.8939,-586.124,1
-42.5677,-29.3108,-586.597,1
-42.3699,-30.1983,-587.029,1
-42.2242,-30.8309,-585.804,1
-42.1149,-31.3429,-585.838,1
-42.0595,-31.4227,-584.475,1
-42.0221,-31.5002,-584.834,1
-41.943,-31.4588,-584.418,1
-41.6477,-31.7076,-584.737,1
-41.4124,-32.1156,-585.167,1
-41.0658,-32.3928,-584.368,1
-40.6307,-32.4479,-582.94,1
-40.4042,-32.8158,-583.624,1
-40.1862,-32.7906,-582.493,1
-40.0493,-32.7457,-582.324,1
-39.8454,-32.8675,-582.077,1
-39.757,-32.952,-581.915,1
-39.5714,-32.9947,-581.885,1
-39.5446,-33.1851,-581.682,1
-39.1788,-33.3559,-581.581,1
-38.7917,-33.5947,-581.479,1
-38.3282,-33.9899,-582.297,1
-37.9654,-34.0991,-581.842,1
-37.725,-33.9507,-582.084,1
-37.6438,-33.7251,-581.606,1
