x,y,z,success
-62.5031,12.506,-573.19,1
-62.4819,12.5511,-573.023,1
-62.5215,12.4177,-572.893,1
-62.5705,12.1824,-573.548,1
-62.7052,11.8849,-572.282,1
-62.7877,11.5623,-572.919,1
-62.8644,11.0918,-573.186,1
-63.0456,10.4018,-573.102,1
-63.3549,9.68209,-572.94,1
-63.5625,8.74784,-573.849,1
-63.7149,7.922,-573.255,1
-63.9811,7.21912,-572.934,1
-64.1419,6.53814,-572.597,1
-64.259,6.12055,-572.352,1
-64.4937,5.51731,-573.495,1
-64.5264,4.89098,-572.992,1
-64.9345,4.11564,-574.209,1
-65.363,3.22101,-574.275,1
-65.547,2.19416,-573.922,1
-65.7849,1.32491,-573.993,1
-65.9096,0.532859,-573.103,1
-66.0266,-0.0983554,-573.4,1
-66.1349,-0.502403,-573.252,1
-66.2635,-0.755402,-574.151,1
-66.4889,-1.02039,-574.834,1
-66.5478,-1.28924,-574.453,1
-66.8566,-1.64728,-573.777,1
-67.0459,-2.2789,-573.982,1
-66.9054,-2.99777,-573.562,1
-66.8019,-3.54606,-573.819,1
-66.5453,-3.75569,-573.68,1
-66.5986,-3.97524,-572.107,1
-66.9881,-4.92255,-571.675,1
-67.3135,-5.43455,-572.39,1
-67.4272,-6.06239,-571.097,1
-67.4839,-7.07646,-571.538,1
-67.3584,-7.96434,-570.682,1
-67.4655,-8.53028,-571.512,1
-67.6206,-8.83426,-570.945,1
-67.6439,-8.90972,-569.663,1
-67.7547,-9.15952,-569.89,1
-67.6614,-9.56905,-570.476,1
-67.594,-10.1424,-568.608,1
-67.4591,-10.7087,-569.068,1
-67.2771,-11.073,-568.888,1
-67.0912,-11.5146,-568.297,1
-67.0683,-11.6255,-567.899,1
-67.0344,-11.7417,-567.336,1
-66.9609,-11.9573,-567.901,1
-67.0683,-12.0693,-567.789,1
-66.9991,-12.2395,-567.487,1
-67.1525,-12.7167,-566.384,1
-67.1667,-13.3354,-566.956,1
-66.9746,-13.869,-565.869,1
-66.8095,-14.6463,-567.582,1
-66.7593,-15.0866,-567.35,1
-66.7801,-15.1939,-567.374,1
-66.7974,-15.3269,-567.793,1
-66.8492,-15.4207,-567.703,1
-66.911,-15.1844,-566.66,1
-66.9974,-15.2182,-566.919,1
-67.0348,-15.2923,-566.503,1
-67.0383,-15.621,-567.246,1
-66.9451,-16.1253,-567.086,1
-66.7758,-16.637,-566.964,1
-66.7765,-17.465,-568.05,1
-66.6866,-18.2261,-568.408,1
-66.5366,-19.0799,-568.312,1
-66.4096,-20.0229,-567.919,1
-66.4306,-20.7462,-568.21,1
-66.4164,-21.5168,-569.23,1
-66.3292,-21.9326,-568.297,1
-66.1676,-22.1637,-568.55,1
-65.8636,-22.4197,-568.689,1
-65.4935,-22.6766,-568.484,1
-65.1568,-23.037,-568.8,1
-64.8086,-23.4458,-568.984,1
-64.5286,-23.743,-567.748,1
-64.3876,-24.1401,-568.849,1
-64.2008,-24.436,-568.666,1
-64.0043,-24.8777,-568.202,1
-63.9066,-25.5292,-568.728,1
-63.7317,-26.2799,-568.342,1
-63.5877,-26.9961,-569.341,1
-63.2951,-27.4325,-568.697,1
-63.1141,-27.6997,-567.681,1
-62.8942,-28.0254,-568.064,1
-62.7974,-28.2256,-568.417,1
-62.7497,-28.5181,-568.103,1
-62.7456,-28.7397,-567.834,1
-62.708,-28.79,-568.35,1
-62.4836,-28.9161,-567.874,1
-62.1857,-29.2042,-568.267,1
-61.8332,-29.5657,-568.522,1
-61.5547,-30.0718,-568.071,1
-61.1009,-30.7359,-567.006,1
-60.4229,-31.4153,-567.415,1
-59.9637,-32.1312,-567.966,1
-59.6156,-32.6564,-567.656,1
-59.3741,-33.0312,-566.767,1
-59.2229,-33.3689,-566.329,1
-58.9496,-33.5703,-565.695,1
-58.6737,-33.9728,-566.281,1
-58.4482,-34.4653,-567.157,1
-58.3789,-34.8279,-567.007,1
-58.4029,-35.1895,-567.534,1
-58.4904,-35.5368,-567.604,1
-58.4879,-35.766,-566.151,1
-58.4446,-36.1441,-567.209,1
-58.3787,-36.0641,-566.228,1
-58.2583,-36.0169,-566.769,1
-58.0608,-36.1613,-567.243,1
-58.0138,-36.2449,-567.571,1
-57.9926,-36.2233,-567.199,1
-58.2679,-36.2657,-567.466,1
-58.4288,-36.4318,-567.305,1
-58.5849,-36.3688,-567.243,1
-58.5522,-36.247,-567.431,1
-58.5163,-35.985,-567.361,1
-58.5723,-35.9074,-567.124,1
-58.6761,-36.1136,-567.731,1
-58.7853,-36.228,-567.367,1
-58.9065,-36.3799,-567.756,1
-59.156,-36.1304,-567.573,1
-59.4422,-35.8735,-568.23,1
-59.7931,-35.2952,-567.635,1
-60.0782,-34.717,-567.661,1
-60.4792,-34.1939,-568.444,1
-61.0223,-33.6797,-568.35,1
-61.6145,-33.1611,-568.352,1
-62.1268,-32.5889,-568.245,1
-62.5102,-32.1384,-567.184,1
-63.099,-31.6045,-568.409,1
-63.5506,-30.9282,-567.597,1
-64.1564,-30.2619,-568.756,1
-64.7882,-29.5224,-569.3,1
-65.1726,-28.5453,-568.73,1
-65.4015,-27.8529,-568.716,1
-65.5884,-27.4219,-569.612,1
-65.7109,-27.1174,-569.864,1
-65.6987,-27.0149,-569.284,1
-65.8606,-26.8533,-569.342,1
-66.1227,-26.9076,-570.347,1
-66.1745,-26.5352,-569.819,1
-66.396,-26.0284,-569.961,1
-66.9111,-24.8963,-570.347,1
-67.3795,-22.9427,-569.163,1
-68.1071,-21.1786,-570.042,1
-68.7855,-19.7267,-570.263,1
-69.3498,-18.6935,-570.242,1
-69.6421,-18.0274,-571.094,1
-69.7017,-17.3855,-570.496,1
-69.7158,-16.9548,-572.058,1
-69.6337,-16.61,-570.856,1
-69.7278,-16.1495,-571.015,1
-69.7027,-15.6172,-570.02,1
-69.8323,-15.2514,-571.443,1
-69.756,-14.7585,-571.02,1
-69.7185,-14.5698,-572.152,1
-69.5853,-14.2534,-571.209,1
-69.522,-13.7575,-571.233,1
-69.454,-13.0085,-571.229,1
-69.4215,-12.3999,-571.521,1
-69.6565,-11.6723,-571.9,1
-69.8564,-11.1739,-571.454,1
-70.0563,-10.5561,-571.601,1
-70.2413,-9.88273,-571.938,1
-70.2985,-9.2711,-572.516,1
-70.3169,-8.53426,-572.547,1
-70.4788,-7.94341,-572.533,1
-70.8954,-7.66827,-572.6,1
-71.4276,-7.47466,-574.188,1
-71.6271,-7.17709,-571.915,1
-71.7419,-6.96216,-572.975,1
-71.7927,-6.6264,-573.583,1
-71.792,-6.17383,-573.463,1
-72.0125,-5.86901,-573.312,1
-72.1187,-5.56957,-574.179,1
-72.0176,-5.21389,-573.52,1
-71.9994,-4.45827,-574.341,1
-71.6809,-3.33333,-572.987,1
-71.5287,-2.24376,-573.782,1
-71.3752,-1.35422,-574.264,1
-71.4294,-0.836571,-576.15,1
-71.3696,-0.457097,-574.482,1
-71.4634,-0.243443,-573.828,1
-71.5625,-0.14376,-573.29,1
-71.8028,-0.191064,-573.218,1
-72.0577,-0.00738453,-574.186,1
-72.1727,0.437461,-573.915,1
-72.3717,0.738271,-574.216,1
-72.5755,1.09997,-574.379,1
-72.7326,1.71664,-574.928,1
-72.9016,2.39106,-576.082,1
-72.9597,3.13632,-576.176,1
-73.0361,3.77578,-576.626,1
-73.1576,4.47771,-575.123,1
-73.3236,5.38164,-574.847,1
-73.4952,6.07673,-575.132,1
-73.757,6.8976,-575.399,1
-73.8367,7.60589,-575.183,1
-74,8.16872,-576.054,1
-73.9761,8.68655,-575.082,1
-74.1663,9.08371,-575.941,1
-74.2577,9.4116,-575.912,1
-74.295,9.67502,-576.152,1
-74.2993,10.0505,-576.834,1
-74.2535,10.3562,-575.751,1
-74.3303,10.7609,-576.411,1
-74.3022,11.1788,-576.808,1
-74.2616,11.6307,-576.046,1
-74.3184,12.1306,-576.904,1
-74.2917,12.2158,-576.469,1
-74.3059,12.5982,-577.134,1
-73.9558,13.0899,-576.004,1
-74.0044,13.6214,-576.416,1
-73.9568,13.8807,-575.909,1
-74.1991,13.8444,-576.406,1
-74.4126,13.9022,-576.868,1
-74.4927,14.6081,-576.723,1
-74.4338,15.3202,-575.237,1
-74.317,16.1606,-575.666,1
-74.3068,16.8557,-574.902,1
-74.0951,17.7317,-575.278,1
-74.0812,18.6157,-576.614,1
-73.8414,19.2102,-576.296,1
-73.5134,19.7191,-575.334,1
-73.3726,20.2822,-576.432,1
-73.3178,20.5765,-576.265,1
-73.1045,20.9133,-575.24,1
-73.3028,21.0441,-575.137,1
-73.5987,21.055,-574.3,1
-73.8573,21.4671,-574.28,1
-73.9664,21.8517,-573.998,1
-73.7388,22.0497,-574.743,1
-73.4874,22.3392,-575.888,1
-73.2826,22.6752,-575.167,1
-73.1456,22.9921,-576.044,1
-72.9991,23.3889,-576.824,1
-72.9003,23.5329,-576.143,1
-72.7557,23.8669,-576.76,1
-72.5315,24.2689,-576.478,1
-72.2513,24.6258,-576.923,1
-71.8402,25.0728,-577.454,1
-71.4539,25.7338,-577.884,1
-71.055,26.5969,-577.069,1
-70.7073,27.4401,-577.838,1
-70.5141,28.2131,-578.176,1
-70.3311,28.9572,-577.917,1
-70.0489,29.5663,-577.33,1
-69.8803,30.0917,-577.607,1
-69.6291,30.6098,-577.746,1
-69.3402,31.0459,-577.586,1
-69.2478,31.4035,-577.217,1
-68.9466,31.8465,-577.57,1
-68.7472,32.2744,-577.37,1
-68.4445,32.6029,-577.628,1
-68.1795,32.9911,-577.849,1
-68.0493,33.4198,-578.165,1
-68.2068,33.8595,-577.916,1
-68.4447,34.4852,-578.495,1
-68.4476,35.1257,-578.364,1
-68.4262,35.6714,-579.268,1
-68.3177,36.0978,-580.321,1
-68.054,36.4539,-579.997,1
-67.4952,37.0546,-579.965,1
-66.8294,37.7797,-579.201,1
-66.228,38.6646,-579.984,1
-65.6245,39.4585,-580.218,1
-65.2459,40.0061,-579.124,1
-64.9878,40.8759,-579.747,1
-64.4746,42.4806,-579.836,1
-63.9703,44.1358,-579.461,1
-63.575,45.0555,-579.256,1
-63.2974,45.4483,-579.797,1
-62.9385,45.7329,-580.119,1
-62.6744,45.8953,-579.928,1
-62.5938,46.1574,-580.597,1
-62.4947,46.388,-580.425,1
-62.3616,46.9337,-580.819,1
-62.1538,47.4613,-580.981,1
-62.0054,48.1553,-581.626,1
-61.6743,48.4545,-580.549,1
-61.3842,49.0909,-580.696,1
-60.8237,49.5572,-579.575,1
-60.5025,50.4672,-581.026,1
-60.0468,51.0279,-580.624,1
-59.8661,51.6203,-581.415,1
-59.7075,51.8551,-579.827,1
-59.8052,52.0606,-581.26,1
-59.7666,52.0137,-580.13,1
-59.8559,52.0736,-581.382,1
-60.0587,51.9945,-581.706,1
-60.0812,51.7155,-580.86,1
-60.1526,51.5299,-580.405,1
-60.2618,51.3391,-579.861,1
-60.3147,51.7556,-580.091,1
-60.3198,52.0766,-580.686,1
-60.1621,51.9801,-580.196,1
-60.2391,51.7655,-579.051,1
-60.2344,51.8372,-579.267,1
-60.5201,52.0785,-579.287,1
-60.8447,52.2102,-579.651,1
-61.0998,52.0808,-579.234,1
-61.3298,51.9893,-579.532,1
-61.5109,51.689,-578.652,1
-61.8003,51.3293,-579.308,1
-62.2419,50.8714,-579.191,1
-62.7972,49.9759,-578.764,1
-63.4459,49.2144,-578.58,1
-64.4103,48.4379,-579.238,1
-65.5261,47.3498,-579.111,1
-66.4129,46.2016,-579.227,1
-67.0548,44.869,-577.639,1
-67.6979,43.7631,-578.195,1
-68.2817,42.6506,-577.734,1
-68.8954,41.6335,-576.509,1
-69.6091,40.6872,-577.155,1
-70.1318,39.3777,-577.743,1
-70.3138,38.1083,-577.137,1
-70.4992,36.8587,-576.954,1
-70.6208,35.7359,-576.666,1
-70.6733,34.5272,-575.784,1
-70.6299,33.6462,-575.709,1
-70.6849,32.9807,-574.42,1
-70.9215,32.2337,-574.912,1
-71.1958,31.1005,-575.098,1
-71.5286,29.59,-573.922,1
-72.0933,28.121,-573.944,1
-72.6965,26.5468,-573.759,1
-73.1692,25.0109,-572.836,1
-73.6036,23.9068,-572.403,1
-73.9366,23.0172,-572.17,1
-74.3245,22.2748,-573.002,1
-74.5479,21.6295,-572.196,1
-74.8868,20.9907,-572.831,1
-75.0763,20.1498,-572.218,1
-75.1072,19.3784,-570.875,1
-75.064,18.7758,-572.536,1
-74.9205,18.008,-572.238,1
-74.6656,17.0746,-571.704,1
-74.61,16.3519,-572.544,1
-74.5309,15.3854,-571.904,1
-74.4876,14.5908,-571.538,1
-74.4939,13.8379,-572.632,1
-74.3612,13.3289,-572.514,1
-74.3575,12.851,-572.716,1
-74.349,12.41,-572.459,1
-74.3851,12.0136,-572.582,1
-74.5916,11.4861,-571.681,1
-74.5889,11.0152,-572.043,1
-74.6714,10.5657,-572.612,1
-74.7303,10.2391,-572.892,1
-74.8527,9.44116,-572.232,1
-74.9152,8.41288,-572.208,1
-74.937,7.51005,-571.805,1
-74.9978,6.77448,-572.937,1
-74.8914,6.23642,-573.16,1
-74.943,5.72424,-573.693,1
-74.9046,5.40173,-573.375,1
-74.798,5.35223,-573.376,1
-74.7055,5.18144,-574.323,1
-74.6625,5.33462,-574.916,1
-74.4838,5.77285,-574.398,1
-74.2485,5.82905,-573.424,1
-74.1563,5.67026,-574.587,1
-74.0884,5.28976,-575.179,1
-74.0823,4.90218,-575.961,1
-74.1265,4.44093,-576.561,1
-74.1527,4.0689,-576.353,1
-74.3031,3.5687,-576.258,1
-74.4134,3.14032,-575.486,1
-74.7563,2.64561,-577.145,1
-74.8246,2.23052,-577.285,1
-74.9566,1.64913,-578.127,1
-74.9194,0.965677,-577.58,1
-75.1252,0.742627,-578.296,1
-75.1947,0.67692,-577.693,1
-75.1395,0.775051,-578.384,1
-75.0501,0.961651,-578.537,1
-74.8915,1.30506,-576.905,1
-75.1094,1.58167,-579.222,1
-75.004,1.71309,-577.781,1
-74.979,1.84842,-578.714,1
-74.9259,1.78488,-577.423,1
-75.1471,2.39336,-577.84,1
-75.0272,2.14632,-578.13,1
-74.9539,2.36114,-578.044,1
-75.0219,2.49969,-577.831,1
-74.9251,2.5762,-578.471,1
-75.0107,2.58552,-578.354,1
-74.9779,2.55236,-578.186,1
-74.9873,2.64812,-578.742,1
-75.0519,2.51194,-578.235,1
-75.0399,2.65868,-579.006,1
-75.2174,2.72226,-579.761,1
-75.2697,2.80019,-579.344,1
-75.1373,2.82393,-578.633,1
-75.101,2.89368,-578.426,1
-75.1849,2.97617,-578.936,1
-75.2978,3.01069,-579.277,1
-75.4211,3.04126,-579.411,1
-75.6118,3.12468,-579.628,1
-75.656,3.04759,-578.442,1
-75.7014,3.00229,-578.884,1
-75.6777,2.99681,-579.01,1
-75.6397,3.0292,-578.632,1
-75.6798,2.98584,-578.925,1
-75.6911,2.79127,-579.403,1
-75.7528,2.82015,-579.885,1
-75.8378,2.80472,-579.353,1
-75.8321,2.76955,-579.113,1
-75.7896,2.89286,-578.256,1
-75.8599,2.97753,-578.465,1
-75.9134,3.0893,-578.674,1
-75.8898,3.17122,-578.621,1
-75.8065,3.22911,-578.45,1
-75.7119,3.21349,-578.422,1
-75.7515,3.47724,-578.796,1
-75.7148,3.33245,-578.416,1
-75.7123,3.13556,-578.26,1
-75.74,3.04836,-578.672,1
-75.7374,2.8662,-578.579,1
-75.6942,2.83409,-578.356,1
-75.706,2.70588,-579.439,1
-75.7009,2.77657,-579.476,1
-75.6618,2.79935,-579.745,1
-75.4632,2.6958,-579.118,1
-75.6169,2.70978,-580.737,1
-75.5572,2.59345,-580.431,1
-75.5876,2.57049,-580.064,1
-75.467,2.56143,-579.52,1
