 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
1,156,255,255,255,680.923,248.910,680.923,248.910,1
2,188,255,255,255,737.777,250.585,737.777,250.585,1
3,340,255,255,255,566.447,339.279,566.447,339.279,1
4,189,255,255,255,489.722,343.997,489.722,343.997,1
5,345,255,255,255,753.732,369.601,753.732,369.601,1
6,384,255,255,255,861.253,386.880,861.253,386.880,1
7,167,255,255,255,560.249,404.021,560.249,404.021,1
8,521,255,255,255,427.028,426.951,427.028,426.951,1
9,450,255,255,255,753.262,439.662,753.262,439.662,1
10,227,255,255,255,577.879,463.487,577.879,463.487,1
11,256,255,255,255,493.363,480.254,493.363,480.254,1
12,94,255,255,255,743.330,554.713,743.330,554.713,1
13,236,255,255,255,687.979,563.403,687.979,563.403,1
14,150,255,255,255,680.593,248.893,680.593,248.893,2
15,173,255,255,255,737.592,250.390,737.592,250.390,2
16,24,255,255,255,898.250,255.958,898.250,255.958,2
17,7,255,255,255,963.500,331.500,963.500,331.500,2
18,342,255,255,255,566.503,339.085,566.503,339.085,2
19,172,255,255,255,489.797,343.907,489.797,343.907,2
20,1,255,255,255,938.500,355.500,938.500,355.500,2
21,356,255,255,255,753.778,369.419,753.778,369.419,2
22,16,255,255,255,967,376.375,967,376.375,2
23,382,255,255,255,861.149,386.759,861.149,386.759,2
24,11,255,255,255,975.682,378.500,975.682,378.500,2
25,5,255,255,255,987.900,380.100,987.900,380.100,2
26,15,255,255,255,907.033,383.633,907.033,383.633,2
27,1,255,255,255,956.500,387.500,956.500,387.500,2
28,3,255,255,255,982.500,387.500,982.500,387.500,2
29,4,255,255,255,986,391.500,986,391.500,2
30,156,255,255,255,560.288,403.795,560.288,403.795,2
31,10,255,255,255,979.900,415.800,979.900,415.800,2
32,536,255,255,255,427.394,426.912,427.394,426.912,2
33,1,255,255,255,987.500,415.500,987.500,415.500,2
34,440,255,255,255,753.109,439.300,753.109,439.300,2
35,240,255,255,255,577.921,463.508,577.921,463.508,2
36,255,255,255,255,493.155,480.441,493.155,480.441,2
37,13,255,255,255,911.962,483.654,911.962,483.654,2
38,18,255,255,255,886.056,497.111,886.056,497.111,2
39,4,255,255,255,903,495.500,903,495.500,2
40,29,255,255,255,849.362,543.155,849.362,543.155,2
41,7,255,255,255,886.214,547.500,886.214,547.500,2
42,32,255,255,255,869.438,550.625,869.438,550.625,2
43,108,255,255,255,743.778,554.657,743.778,554.657,2
44,231,255,255,255,688.002,563.379,688.002,563.379,2
45,1,255,255,255,860.500,560.500,860.500,560.500,2
46,1,255,255,255,886.500,564.500,886.500,564.500,2
47,2,255,255,255,881,565.500,881,565.500,2
48,2,255,255,255,904,566.500,904,566.500,2
49,2,255,255,255,878,577.500,878,577.500,2
50,1,255,255,255,374.500,581.500,374.500,581.500,2
51,2,255,255,255,816.500,582,816.500,582,2
52,3,255,255,255,873.500,581.500,873.500,581.500,2
53,80,255,255,255,853.838,592.525,853.838,592.525,2
54,1,255,255,255,835.500,597.500,835.500,597.500,2
55,8,255,255,255,828.250,606.500,828.250,606.500,2
56,172,255,255,255,851.831,640.773,851.831,640.773,2
57,3,255,255,255,862.833,625.833,862.833,625.833,2
58,6,255,255,255,865,630.333,865,630.333,2
59,10,255,255,255,793.700,639.200,793.700,639.200,2
60,1,255,255,255,801.500,654.500,801.500,654.500,2
61,149,255,255,255,680.896,248.849,680.896,248.849,3
62,178,255,255,255,737.949,250.191,737.949,250.191,3
63,2,255,255,255,901.500,249,901.500,249,3
64,17,255,255,255,898.088,257.441,898.088,257.441,3
65,2,255,255,255,964.500,332,964.500,332,3
66,1,255,255,255,970.500,331.500,970.500,331.500,3
67,341,255,255,255,566.943,339.145,566.943,339.145,3
68,198,255,255,255,490.227,343.652,490.227,343.652,3
69,4,255,255,255,963,354,963,354,3
70,2,255,255,255,939,355.500,939,355.500,3
71,4,255,255,255,945,356,945,356,3
72,1,255,255,255,967.500,355.500,967.500,355.500,3
73,347,255,255,255,753.759,369.373,753.759,369.373,3
74,13,255,255,255,966.885,375.654,966.885,375.654,3
75,5,255,255,255,978.700,377.100,978.700,377.100,3
76,387,255,255,255,861.389,386.722,861.389,386.722,3
77,7,255,255,255,987.786,380.357,987.786,380.357,3
78,2,255,255,255,910,383.500,910,383.500,3
79,9,255,255,255,986.056,392.722,986.056,392.722,3
80,166,255,255,255,560.560,404.861,560.560,404.861,3
81,1,255,255,255,978.500,412.500,978.500,412.500,3
82,535,255,255,255,427.420,426.810,427.420,426.810,3
83,443,255,255,255,753.383,439.437,753.383,439.437,3
84,223,255,255,255,578.303,463.267,578.303,463.267,3
85,269,255,255,255,493.058,480.177,493.058,480.177,3
86,4,255,255,255,913.500,474,913.500,474,3
87,2,255,255,255,904.500,490,904.500,490,3
88,2,255,255,255,891,490.500,891,490.500,3
89,21,255,255,255,885.405,496.643,885.405,496.643,3
90,1,255,255,255,902.500,504.500,902.500,504.500,3
91,39,255,255,255,848.654,544.167,848.654,544.167,3
92,7,255,255,255,887.071,547.214,887.071,547.214,3
93,23,255,255,255,869.804,550.500,869.804,550.500,3
94,109,255,255,255,744.234,554.711,744.234,554.711,3
95,2,255,255,255,865,554.500,865,554.500,3
96,222,255,255,255,687.725,563.464,687.725,563.464,3
97,1,255,255,255,860.500,561.500,860.500,561.500,3
98,2,255,255,255,881,565.500,881,565.500,3
99,1,255,255,255,360.500,572.500,360.500,572.500,3
100,2,255,255,255,878,578.500,878,578.500,3
101,3,255,255,255,381.500,583.833,381.500,583.833,3
102,9,255,255,255,813.833,586.167,813.833,586.167,3
103,1,255,255,255,387.500,586.500,387.500,586.500,3
104,2,255,255,255,390,587.500,390,587.500,3
105,40,255,255,255,859.225,590.050,859.225,590.050,3
106,35,255,255,255,847.214,595.614,847.214,595.614,3
107,2,255,255,255,854,601.500,854,601.500,3
108,6,255,255,255,828.167,606.667,828.167,606.667,3
109,1,255,255,255,860.500,624.500,860.500,624.500,3
110,121,255,255,255,856.054,634.855,856.054,634.855,3
111,4,255,255,255,797,634,797,634,3
112,5,255,255,255,793.700,640.100,793.700,640.100,3
113,75,255,255,255,847.500,650.793,847.500,650.793,3
114,1,255,255,255,837.500,650.500,837.500,650.500,3
115,2,255,255,255,808,653.500,808,653.500,3
116,5,255,255,255,870.300,219.100,870.300,219.100,4
117,147,255,255,255,680.643,248.772,680.643,248.772,4
118,175,255,255,255,738.117,250.386,738.117,250.386,4
119,7,255,255,255,901.071,249.929,901.071,249.929,4
120,14,255,255,255,897,259.500,897,259.500,4
121,342,255,255,255,566.588,339.044,566.588,339.044,4
122,175,255,255,255,489.649,343.809,489.649,343.809,4
123,2,255,255,255,963,353.500,963,353.500,4
124,1,255,255,255,938.500,355.500,938.500,355.500,4
125,5,255,255,255,944.700,356.100,944.700,356.100,4
126,354,255,255,255,753.497,369.322,753.497,369.322,4
127,6,255,255,255,959.500,373,959.500,373,4
128,18,255,255,255,966.889,375.778,966.889,375.778,4
129,12,255,255,255,976.833,377.750,976.833,377.750,4
130,378,255,255,255,861.217,386.675,861.217,386.675,4
131,14,255,255,255,987.857,381.143,987.857,381.143,4
132,3,255,255,255,903.500,384.500,903.500,384.500,4
133,2,255,255,255,983,387.500,983,387.500,4
134,5,255,255,255,986.500,390.700,986.500,390.700,4
135,170,255,255,255,560.629,405.335,560.629,405.335,4
136,525,255,255,255,427.190,426.700,427.190,426.700,4
137,448,255,255,255,753.518,439.408,753.518,439.408,4
138,214,255,255,255,578.374,463.313,578.374,463.313,4
139,259,255,255,255,493.052,480.056,493.052,480.056,4
140,6,255,255,255,890,491,890,491,4
141,24,255,255,255,849.208,543.208,849.208,543.208,4
142,8,255,255,255,885.750,547.875,885.750,547.875,4
143,26,255,255,255,869.462,550.769,869.462,550.769,4
144,124,255,255,255,744.677,554.903,744.677,554.903,4
145,238,255,255,255,687.870,563.525,687.870,563.525,4
146,1,255,255,255,732.500,558.500,732.500,558.500,4
147,1,255,255,255,880.500,565.500,880.500,565.500,4
148,1,255,255,255,886.500,571.500,886.500,571.500,4
149,2,255,255,255,873,580.500,873,580.500,4
150,1,255,255,255,813.500,586.500,813.500,586.500,4
151,98,255,255,255,853.255,593.102,853.255,593.102,4
152,1,255,255,255,887.500,587.500,887.500,587.500,4
153,1,255,255,255,867.500,588.500,867.500,588.500,4
154,1,255,255,255,880.500,591.500,880.500,591.500,4
155,1,255,255,255,835.500,597.500,835.500,597.500,4
156,1,255,255,255,832.500,600.500,832.500,600.500,4
157,2,255,255,255,550,603.500,550,603.500,4
158,128,255,255,255,857.180,633.578,857.180,633.578,4
159,1,255,255,255,869.500,626.500,869.500,626.500,4
160,6,255,255,255,793.500,640,793.500,640,4
161,35,255,255,255,850.900,645.214,850.900,645.214,4
162,2,255,255,255,837,651.500,837,651.500,4
163,33,255,255,255,844.924,652.955,844.924,652.955,4
164,11,255,255,255,832.045,652.864,832.045,652.864,4
165,1,255,255,255,870.500,219.500,870.500,219.500,5
166,150,255,255,255,680.620,248.873,680.620,248.873,5
167,171,255,255,255,737.997,250.114,737.997,250.114,5
168,23,255,255,255,899.022,253.935,899.022,253.935,5
169,1,255,255,255,933.500,281.500,933.500,281.500,5
170,345,255,255,255,566.601,339.112,566.601,339.112,5
171,2,255,255,255,964,332.500,964,332.500,5
172,190,255,255,255,489.637,343.395,489.637,343.395,5
173,1,255,255,255,944.500,356.500,944.500,356.500,5
174,359,255,255,255,753.531,369.260,753.531,369.260,5
175,6,255,255,255,959.500,373,959.500,373,5
176,15,255,255,255,966.367,375.433,966.367,375.433,5
177,386,255,255,255,860.946,386.570,860.946,386.570,5
178,1,255,255,255,988.500,377.500,988.500,377.500,5
179,1,255,255,255,970.500,381.500,970.500,381.500,5
180,8,255,255,255,904.750,383.750,904.750,383.750,5
181,1,255,255,255,986.500,391.500,986.500,391.500,5
182,1,255,255,255,985.500,393.500,985.500,393.500,5
183,171,255,255,255,560.301,404.904,560.301,404.904,5
184,536,255,255,255,427.095,426.942,427.095,426.942,5
185,2,255,255,255,980,416.500,980,416.500,5
186,446,255,255,255,753.457,439.572,753.457,439.572,5
187,231,255,255,255,577.968,463.660,577.968,463.660,5
188,248,255,255,255,492.887,480.056,492.887,480.056,5
189,17,255,255,255,912.382,481.794,912.382,481.794,5
190,2,255,255,255,967.500,483,967.500,483,5
191,11,255,255,255,885.955,498.045,885.955,498.045,5
192,6,255,255,255,904,495.500,904,495.500,5
193,1,255,255,255,906.500,501.500,906.500,501.500,5
194,2,255,255,255,852,540.500,852,540.500,5
195,10,255,255,255,846.100,545.200,846.100,545.200,5
196,10,255,255,255,885.900,547.600,885.900,547.600,5
197,23,255,255,255,870.065,549.674,870.065,549.674,5
198,112,255,255,255,744.179,554.518,744.179,554.518,5
199,2,255,255,255,865,554.500,865,554.500,5
200,230,255,255,255,688.374,563.226,688.374,563.226,5
201,3,255,255,255,859.500,561.167,859.500,561.167,5
202,2,255,255,255,904.500,566,904.500,566,5
203,5,255,255,255,878.300,577.900,878.300,577.900,5
204,1,255,255,255,379.500,583.500,379.500,583.500,5
205,2,255,255,255,813,585.500,813,585.500,5
206,1,255,255,255,386.500,586.500,386.500,586.500,5
207,80,255,255,255,855.062,592.125,855.062,592.125,5
208,2,255,255,255,880,591.500,880,591.500,5
209,1,255,255,255,874.500,592.500,874.500,592.500,5
210,2,255,255,255,878,593.500,878,593.500,5
211,2,255,255,255,832,599.500,832,599.500,5
212,6,255,255,255,838.667,600.833,838.667,600.833,5
213,4,255,255,255,863,619,863,619,5
214,207,255,255,255,853.988,639.891,853.988,639.891,5
215,4,255,255,255,861,629,861,629,5
216,7,255,255,255,829.214,635.500,829.214,635.500,5
217,5,255,255,255,841.700,635.100,841.700,635.100,5
218,6,255,255,255,793.500,640,793.500,640,5
219,9,255,255,255,840.500,654.167,840.500,654.167,5
220,1,255,255,255,818.500,656.500,818.500,656.500,5
221,4,255,255,255,870,219,870,219,6
222,144,255,255,255,680.625,248.625,680.625,248.625,6
223,172,255,255,255,738.041,250.256,738.041,250.256,6
224,22,255,255,255,899.500,252.909,899.500,252.909,6
225,1,255,255,255,933.500,273.500,933.500,273.500,6
226,345,255,255,255,566.636,339.091,566.636,339.091,6
227,1,255,255,255,964.500,332.500,964.500,332.500,6
228,174,255,255,255,489.977,343.552,489.977,343.552,6
229,349,255,255,255,753.537,369.042,753.537,369.042,6
230,15,255,255,255,967.100,376.367,967.100,376.367,6
231,3,255,255,255,978.167,377.167,978.167,377.167,6
232,378,255,255,255,861.360,386.730,861.360,386.730,6
233,3,255,255,255,988.167,378.167,988.167,378.167,6
234,4,255,255,255,973.500,378.750,973.500,378.750,6
235,1,255,255,255,970.500,382.500,970.500,382.500,6
236,2,255,255,255,908,383.500,908,383.500,6
237,3,255,255,255,904.500,384.500,904.500,384.500,6
238,1,255,255,255,956.500,387.500,956.500,387.500,6
239,12,255,255,255,986.167,392.583,986.167,392.583,6
240,160,255,255,255,559.719,403.556,559.719,403.556,6
241,1,255,255,255,978.500,412.500,978.500,412.500,6
242,2,255,255,255,987.500,413,987.500,413,6
243,7,255,255,255,979.929,416.214,979.929,416.214,6
244,539,255,255,255,427.381,426.981,427.381,426.981,6
245,1,255,255,255,981.500,419.500,981.500,419.500,6
246,445,255,255,255,753.385,439.426,753.385,439.426,6
247,225,255,255,255,577.953,463.722,577.953,463.722,6
248,251,255,255,255,493.022,480.197,493.022,480.197,6
249,1,255,255,255,967.500,482.500,967.500,482.500,6
250,4,255,255,255,890.750,491.250,890.750,491.250,6
251,7,255,255,255,886.643,547.214,886.643,547.214,6
252,27,255,255,255,869.463,550.722,869.463,550.722,6
253,95,255,255,255,743.805,554.268,743.805,554.268,6
254,224,255,255,255,687.929,563.366,687.929,563.366,6
255,2,255,255,255,860,561.500,860,561.500,6
256,1,255,255,255,878.500,577.500,878.500,577.500,6
257,1,255,255,255,370.500,579.500,370.500,579.500,6
258,2,255,255,255,888,579.500,888,579.500,6
259,2,255,255,255,379,583.500,379,583.500,6
260,1,255,255,255,816.500,584.500,816.500,584.500,6
261,1,255,255,255,891.500,585.500,891.500,585.500,6
262,1,255,255,255,385.500,586.500,385.500,586.500,6
263,83,255,255,255,853.645,592.572,853.645,592.572,6
264,1,255,255,255,877.500,594.500,877.500,594.500,6
265,13,255,255,255,576.731,606.962,576.731,606.962,6
266,4,255,255,255,858,625,858,625,6
267,210,255,255,255,853.314,641.362,853.314,641.362,6
268,2,255,255,255,860.500,629,860.500,629,6
269,5,255,255,255,794.100,640.100,794.100,640.100,6
270,1,255,255,255,804.500,653.500,804.500,653.500,6
271,1,255,255,255,801.500,654.500,801.500,654.500,6
272,151,255,255,255,680.546,248.738,680.546,248.738,7
273,163,255,255,255,737.788,249.972,737.788,249.972,7
274,6,255,255,255,900.167,251.167,900.167,251.167,7
275,15,255,255,255,897.033,258.567,897.033,258.567,7
276,2,255,255,255,970,331.500,970,331.500,7
277,345,255,255,255,565.938,339.030,565.938,339.030,7
278,2,255,255,255,965,332.500,965,332.500,7
279,189,255,255,255,489.696,343.929,489.696,343.929,7
280,2,255,255,255,963,353.500,963,353.500,7
281,5,255,255,255,945.300,355.900,945.300,355.900,7
282,344,255,255,255,753.637,368.956,753.637,368.956,7
283,5,255,255,255,958.700,372.900,958.700,372.900,7
284,15,255,255,255,966.900,374.900,966.900,374.900,7
285,384,255,255,255,861.052,386.518,861.052,386.518,7
286,1,255,255,255,977.500,377.500,977.500,377.500,7
