x,y,success
868.944,502.633,1
869.112,502.325,1
868.478,502.778,1
868.826,502.426,1
868.512,502.536,1
868.59,502.12,1
868.874,502.612,1
868.324,503.076,1
868.029,503.443,1
868.244,502.919,1
868.033,503.033,1
868.202,503.255,1
868.107,503.433,1
868.925,502.368,1
868.706,502.547,1
868.12,502.989,1
867.663,503.265,1
867.881,503.108,1
868.104,502.837,1
868.082,502.773,1
867.882,503.059,1
868.057,502.566,1
867.736,502.636,1
868.042,502.339,1
867.33,502.705,1
868.028,502.287,1
867.908,502.5,1
868.574,502.205,1
868.549,502.245,1
867.926,503.043,1
868.667,502.635,1
867.917,503.198,1
868.177,503.22,1
867.611,503.444,1
867.843,503.51,1
867.284,504.091,1
867.812,503.969,1
867.637,503.953,1
867.529,504.087,1
867.872,504.266,1
867.623,504.057,1
867.836,503.734,1
867.924,503.348,1
867.615,503.606,1
867.684,503.772,1
867.259,504.019,1
867.4,503.782,1
867.318,503.764,1
867.71,503.129,1
867.395,503.129,1
867.917,502.483,1
867.286,502.464,1
867.036,502.375,1
866.793,502.233,1
866.349,502.391,1
866.383,501.995,1
865.95,502.302,1
866.046,502.475,1
866.517,501.804,1
866.158,502.25,1
866.965,501.768,1
866.57,501.717,1
866.593,501.416,1
866.464,501.902,1
866.434,502.226,1
866.573,502.5,1
867.012,502.079,1
866.951,502.695,1
867.115,502.885,1
867.237,503.07,1
867.136,503.472,1
866.528,504.176,1
866.85,504.112,1
865.742,505.363,1
865.58,505.799,1
866.302,505.609,1
865.19,506.44,1
865.102,506.861,1
865.025,506.926,1
864.612,507.478,1
865,507.177,1
864.395,507.784,1
865.535,506.802,1
864.702,507.612,1
864.414,508.302,1
863.753,509.199,1
863.795,509.659,1
863.902,509.524,1
863.704,510.167,1
863.67,510,1
863.426,510.213,1
863,510.023,1
862.798,510.012,1
862.659,509.78,1
862.535,510.047,1
862.167,510.06,1
863,509.62,1
862.374,510.603,1
862.863,509.764,1
863.368,509.148,1
862.58,509.647,1
863.295,508.837,1
862.99,509.48,1
862.413,509.424,1
862.679,509.192,1
863.14,508.687,1
863.035,508.488,1
863.054,507.859,1
863.5,507.187,1
863.316,507.471,1
863.079,507.489,1
863.024,507.626,1
863.01,507.704,1
863.181,507.915,1
863.419,508.453,1
864.183,508.378,1
864.863,508.148,1
864.989,508.159,1
864.919,508.57,1
865.178,508.282,1
864.966,508.393,1
865.419,508.267,1
864.656,508.917,1
864.732,509.086,1
865.051,509.369,1
864.91,509.376,1
865.176,509.239,1
864.633,509.541,1
864.723,508.596,1
864.777,508.203,1
864.047,507.942,1
863.367,507.571,1
862.51,508.192,1
862.456,507.967,1
862.046,507.815,1
861.877,507.34,1
861.864,507.086,1
860.662,508.129,1
861,507.566,1
860.789,507.533,1
860.875,507.462,1
860.342,507.797,1
860.712,507.462,1
860.824,507.186,1
860.644,507.433,1
860.392,507.608,1
861.286,507.153,1
860.633,507.233,1
861.25,506.24,1
861.394,506.1,1
861.057,506.307,1
861.06,506.083,1
860.951,506.451,1
861.328,506.397,1
861.177,506.708,1
861.949,505.857,1
861.446,506.467,1
861.385,506.351,1
862.292,505.438,1
862.038,505.841,1
862.679,505.906,1
862.344,506.312,1
861.962,506.443,1
862.091,506.446,1
862.86,505.86,1
862.462,505.75,1
862.604,505.491,1
862.679,505.406,1
862.783,504.49,1
862.065,505.176,1
862.552,504.69,1
862.139,505.139,1
862.759,504.509,1
862.572,505.05,1
