x,y,success
789.291,501.052,1
790.118,500.819,1
789.308,500.9,1
789.266,500.856,1
789.221,501.025,1
789.578,500.96,1
789.309,501.268,1
789.445,501.234,1
788.774,501.425,1
789.357,501.836,1
789.573,501.913,1
789.52,502.081,1
789.547,501.684,1
789.693,501.137,1
789.34,500.629,1
789.28,501.073,1
789.293,500.912,1
789.701,501.137,1
789.704,501.327,1
790.028,501.384,1
789.564,500.914,1
789.518,500.706,1
789.429,500.444,1
788.741,500.156,1
788.057,499.854,1
787.554,499.641,1
786.936,499.503,1
786.619,500.007,1
786.42,500.528,1
785.626,501.306,1
785.343,501.567,1
785.551,502.743,1
785.765,503.814,1
785.781,504.269,1
785.249,504.723,1
784.984,505.083,1
784.455,505.642,1
783.734,506.042,1
783.719,506.912,1
782.864,506.95,1
782.157,507.566,1
781.824,508.414,1
780.961,509.017,1
780.427,510.01,1
779.394,511.342,1
778.826,512.889,1
778.161,515.398,1
777.925,517.46,1
777.812,519.336,1
776.907,521.131,1
776.556,522.528,1
775.949,523.623,1
775.76,524.477,1
775.607,525.212,1
775.679,525.533,1
775.517,525.949,1
775.571,525.765,1
775.244,525.955,1
775.394,526.326,1
775.346,527.081,1
774.923,528.116,1
774.659,529.547,1
774.088,530.42,1
773.523,532.136,1
772.539,534.27,1
771.157,536.549,1
770.505,538.558,1
769.317,541.115,1
768.208,543.42,1
767.51,545.083,1
766.759,546.631,1
766.279,547.747,1
765.228,548.157,1
764.615,548.625,1
764.44,549.18,1
763.586,549.315,1
763.328,549.497,1
763.144,549.53,1
762.502,549.828,1
762.352,550.111,1
761.518,550.557,1
761.337,550.98,1
760.813,552.004,1
759.872,552.915,1
759.52,554.165,1
758.518,555.456,1
758.026,556.485,1
756.799,557.416,1
756.101,557.578,1
755.539,557.898,1
754.598,558.339,1
753.693,559.256,1
752.687,560.065,1
751.981,560.753,1
751.085,561.572,1
750.462,562.914,1
749.113,563.033,1
748.407,564.288,1
747.437,564.796,1
747.614,565.171,1
747.018,565.712,1
747.109,565.789,1
746.654,565.949,1
746.533,566.363,1
745.276,566.949,1
744.13,567.907,1
743.375,569.199,1
