x,y,success
776.365,570.111,1
776.344,570.265,1
776.337,570.129,1
776.759,570.09,1
776.934,569.982,1
776.833,569.669,1
776.891,569.364,1
777.225,569.148,1
777.042,568.809,1
776.94,568.784,1
776.996,568.784,1
777.032,568.752,1
777.07,568.998,1
776.673,569.244,1
776.998,569.117,1
776.962,569.807,1
776.65,569.666,1
776.662,570.585,1
776.026,571.472,1
775.972,572.923,1
775.867,574.504,1
775.122,576.051,1
774.92,577.636,1
774.542,578.692,1
774.351,579.873,1
773.933,580.825,1
773.553,581.381,1
773.476,582.157,1
773.472,582.986,1
772.38,583.89,1
771.998,584.447,1
771.286,585.279,1
771.034,586.322,1
770.551,586.854,1
770.305,588.527,1
770.407,589.722,1
769.246,591.004,1
768.778,592.254,1
768.428,593.842,1
767.824,595.073,1
767.416,596.066,1
766.094,597.584,1
765.329,598.969,1
764.563,600.751,1
763.5,602.098,1
762.973,603.61,1
762.13,605.276,1
761.484,606.873,1
760.489,608.736,1
759.608,610.119,1
758.762,611.242,1
758.488,613.246,1
757.943,614.797,1
756.961,615.903,1
756.254,617.115,1
755.488,618.046,1
754.9,619.444,1
754.5,620.432,1
753.449,621.312,1
752.876,622.164,1
752.715,623.199,1
752.058,624.082,1
751.053,624.887,1
750.758,626.335,1
749.982,627.701,1
749.317,628.736,1
748.643,629.953,1
748.207,631.42,1
746.961,632.957,1
746.614,634.035,1
746.179,635.402,1
745.341,636.429,1
744.932,637.635,1
744.335,638.78,1
743.68,639.712,1
743.207,641.077,1
742.471,642.442,1
742.074,643.404,1
741.736,644.068,1
741.206,644.899,1
740.372,645.636,1
740.524,646.258,1
739.944,647.032,1
739.557,647.386,1
739.53,647.814,1
739.169,648.531,1
738.887,649.113,1
738.412,649.244,1
738.149,649.95,1
737.622,650.375,1
737.229,650.898,1
736.177,650.964,1
736.597,651.407,1
735.697,652.22,1
735.378,652.496,1
734.94,652.36,1
734.533,652.866,1
733.709,653.428,1
733.27,654.46,1
732.59,655.708,1
731.89,656.954,1
730.609,658.415,1
730.071,660.464,1
728.624,661.926,1
728.028,663.618,1
727.466,664.716,1
726.54,666.257,1
725.895,667.667,1
725.132,668.26,1
724.249,669.714,1
723.98,670.634,1
723.307,671.697,1
722.751,672.716,1
721.698,673.391,1
721.391,674.16,1
720.447,675.035,1
719.899,676.038,1
719.093,677.301,1
718.387,677.722,1
718.25,678.737,1
717.293,679.484,1
716.219,680.041,1
715.046,681.213,1
714.668,682.504,1
712.796,683.306,1
711.5,684.816,1
710.431,685.94,1
708.666,686.864,1
708.213,688.205,1
705.949,689.677,1
705.532,691.034,1
703.592,692.452,1
702.151,693.424,1
701.22,694.586,1
700.235,695.533,1
699.148,696.217,1
698.15,697.081,1
697.156,698.152,1
696.06,699.052,1
695.349,700.099,1
694.422,700.633,1
693.447,701.924,1
692.648,702.492,1
691.894,702.886,1
691.854,702.701,1
691.788,703.126,1
691.272,703.488,1
690.496,703.228,1
689.533,702.693,1
688.734,702.598,1
687.783,703.541,1
686.489,703.493,1
685.922,704.248,1
684.592,704.085,1
683.615,704.173,1
681.716,704.933,1
680.41,705.561,1
679.364,707.111,1
678.336,707.603,1
678.137,708.569,1
677.585,708.817,1
678.265,709.451,1
678.316,709.006,1
678.83,708.129,1
679.84,707.692,1
680.565,706.335,1
681.41,705.047,1
682.951,704.06,1
684.66,702.73,1
686.456,701.315,1
689.012,700.137,1
690.791,698.066,1
692.87,696.002,1
695.288,693.693,1
697.743,691.566,1
700.287,689.307,1
702.731,687.079,1
705.484,684.214,1
708.407,681.967,1
710.55,679.116,1
713.546,675.971,1
716.576,672.987,1
719.314,669.934,1
721.749,666.753,1
724.36,663.264,1
726.917,660.107,1
728.697,656.988,1
730.475,654.197,1
732.453,651.105,1
734.15,649.241,1
735.208,647.169,1
736.2,644.943,1
737.823,643.469,1
738.5,641.304,1
739.542,639.658,1
741.142,638.081,1
742.48,635.806,1
743.561,634.257,1
744.265,632.719,1
745.489,631.645,1
746.508,629.865,1
747.504,628.392,1
748.797,626.695,1
750.455,624.742,1
752.036,623.151,1
753.8,620.903,1
754.927,618.235,1
756.465,615.708,1
758.089,613.401,1
759.447,610.823,1
760.821,608.757,1
761.673,606.697,1
762.623,604.758,1
764.173,603.2,1
765.571,601.544,1
767.143,599.887,1
767.876,598.225,1
769.331,596.567,1
769.896,594.833,1
770.541,592.912,1
771.849,591.357,1
772.651,589.542,1
773.504,587.545,1
774.81,585.422,1
776.13,583.568,1
777.458,581.576,1
778.477,579.427,1
779.243,577.313,1
779.574,575.678,1
780.489,573.74,1
780.777,572.315,1
781.504,570.377,1
782.004,568.725,1
782.656,567.137,1
783.431,565.274,1
784.013,563.783,1
784.733,562.649,1
785.143,560.79,1
785.736,559.078,1
786.874,557.348,1
787.725,555.878,1
788.37,554.178,1
788.967,552.176,1
790.178,549.967,1
790.353,547.511,1
790.966,544.892,1
791.452,542.604,1
791.598,540.226,1
792.295,537.586,1
792.705,535.535,1
793.489,533.025,1
794.084,529.774,1
794.657,526.97,1
795.255,524.273,1
795.906,521.6,1
796.14,519.028,1
796.637,516.489,1
796.948,514.297,1
797.278,512.078,1
797.837,509.56,1
797.727,506.727,1
798.415,504.176,1
798.661,501.479,1
798.541,498.83,1
798.675,496.211,1
798.97,493.616,1
799.434,490.778,1
799.782,487.541,1
800.363,484.525,1
799.669,481.62,1
799.654,478.918,1
799.634,476.493,1
799.602,474.304,1
799.823,472.584,1
799.805,470.164,1
800.049,467.609,1
800.276,464.958,1
800.613,462.297,1
800.593,459.355,1
800.521,456.607,1
800.957,453.815,1
800.767,451.408,1
801.079,448.462,1
801.295,445.448,1
801.486,443.248,1
801.691,441.124,1
801.626,438.729,1
801.854,436.513,1
801.826,434.177,1
802.005,431.833,1
801.83,429.389,1
801.532,427.096,1
801.995,424.298,1
801.827,421.926,1
801.901,419.215,1
802.136,415.887,1
801.782,412.93,1
801.742,409.968,1
802.283,406.129,1
801.928,402.791,1
802.211,398.918,1
801.927,395.497,1
801.696,392.264,1
801.907,389.394,1
801.527,386.503,1
801.625,383.797,1
801.009,380.544,1
800.985,378.184,1
800.772,375.397,1
800.464,372.653,1
800.52,370.103,1
800.084,366.354,1
799.591,363.278,1
799.211,360.31,1
798.669,357.334,1
797.885,355.079,1
797.449,352.01,1
796.625,348.698,1
795.677,345.383,1
794.384,341.565,1
793.005,338.067,1
791.568,334.659,1
790.769,332.006,1
790.286,330.454,1
789.326,328.217,1
788.892,326.266,1
788.234,323.673,1
787.624,321.465,1
787.008,318.804,1
786.539,316.545,1
786.11,314.589,1
785.778,313.421,1
785.113,312.078,1
785.211,311.78,1
785.136,311.293,1
784.637,310.494,1
784.381,309.365,1
783.713,307.577,1
783.269,306.848,1
782.873,306.452,1
782.412,306.642,1
782.278,307.103,1
782.091,307.529,1
781.972,307.794,1
782.108,307.889,1
782.045,307.74,1
782.195,308.755,1
782.392,309.665,1
782.814,310.979,1
783.464,313.285,1
784.715,315.708,1
785.713,318.669,1
787.276,322.737,1
788.94,326.851,1
790.783,331.683,1
792.862,337.631,1
794.628,343.692,1
796.161,350.559,1
797.744,357.913,1
799.295,365.239,1
800.604,372.879,1
801.852,380.097,1
802.697,386.91,1
803.039,392.703,1
803.298,398.816,1
803.487,404.194,1
803.479,409.469,1
803.461,414.602,1
803.875,419.486,1
804.154,424.432,1
