x,y,success
946.337,320.116,1
946.23,320.555,1
946.117,320.455,1
945.722,320.204,1
945.69,320.169,1
945.6,319.858,1
945.527,319.688,1
945.887,319.866,1
946.319,319.636,1
945.688,319.409,1
945.341,319.306,1
945.212,319.065,1
945.52,319.188,1
946.042,319.387,1
946.344,319.518,1
946.23,319.47,1
946.362,319.246,1
946.092,319.169,1
946.084,318.776,1
945.98,318.771,1
946.435,319.32,1
946.762,319.769,1
946.815,319.409,1
946.549,318.793,1
946.477,317.985,1
946.559,317.701,1
946.229,317.556,1
946.414,316.692,1
946.233,315.767,1
946.341,315.039,1
946.017,314.674,1
946.067,314.769,1
945.746,315.036,1
945.972,315.982,1
946.297,317.576,1
946.769,319.714,1
947.157,323.102,1
947.873,328.104,1
948.233,333.839,1
948.611,339.942,1
949.144,346.697,1
949.731,351.843,1
950.541,357.016,1
951.258,362.341,1
952.147,367.287,1
952.221,371.842,1
952.59,376.393,1
952.598,380.919,1
953.601,385.365,1
954.417,389.943,1
954.699,393.984,1
954.565,398.673,1
954.472,402.232,1
954.171,406.125,1
954.437,409.78,1
954.644,414.011,1
954.723,418.668,1
954.426,424.065,1
954.311,429.565,1
953.634,435.79,1
952.958,442.391,1
952.418,449.042,1
951.362,455.144,1
950.646,461.681,1
950.115,467.927,1
948.836,474.055,1
947.937,479.674,1
947.02,485.388,1
945.992,490.798,1
945.037,495.888,1
943.564,500.564,1
942.155,505.388,1
940.808,509.958,1
939.302,514.285,1
938.346,517.939,1
937.421,521.538,1
936.246,524.771,1
935.632,529.329,1
934.48,533.161,1
933.215,537.515,1
932.192,540.708,1
931.232,543.365,1
930.287,545.728,1
929.951,547.791,1
929.184,549.925,1
928.35,552.466,1
927.672,554.862,1
926.265,557.528,1
925.74,560.559,1
924.796,563.791,1
924.059,567.655,1
922.811,571.881,1
921.223,576.673,1
919.482,581.768,1
918.207,586.956,1
917.164,591.665,1
916.266,595.786,1
915.795,598.907,1
914.985,601.886,1
914.243,605.105,1
913.401,608.651,1
911.864,611.569,1
