x,y,z,success
-67.9633,6.99781,-529.347,1
-67.9788,6.86865,-528.094,1
-67.9776,7.03028,-528.56,1
-67.8633,7.02191,-528.193,1
-68.0183,7.02825,-527.558,1
-67.9236,7.03679,-528.158,1
-67.8926,7.07234,-527.571,1
-68.0008,7.16289,-528.73,1
-67.9972,7.00485,-528.57,1
-67.9408,7.00655,-528.161,1
-67.9452,7.01425,-527.853,1
-68.0491,7.03386,-528.457,1
-67.9953,7.16291,-528.675,1
-67.9089,7.16156,-528.64,1
-67.7802,7.14293,-527.724,1
-67.7986,7.09602,-527.821,1
-67.8508,7.16243,-528.566,1
-67.8338,7.11985,-528.425,1
-67.8793,7.11921,-528.652,1
-67.8099,7.17343,-527.649,1
-67.8746,7.19208,-528.652,1
-67.7251,7.21334,-527.77,1
-67.7417,7.37601,-527.789,1
-67.6623,7.30842,-527.242,1
-67.7673,7.3476,-528.424,1
-67.6603,7.27423,-527.217,1
-67.772,7.31682,-528.04,1
-67.7875,7.38459,-527.231,1
-67.831,7.44587,-528.139,1
-67.8789,7.60434,-527.899,1
-67.7909,7.61682,-527.019,1
-67.843,7.70251,-527.545,1
-67.7636,7.70138,-527.27,1
-67.8184,7.66935,-527.338,1
-67.8282,7.62659,-527.851,1
-67.8576,7.569,-527.985,1
-67.8819,7.59041,-527.834,1
-67.8079,7.55644,-527.944,1
-67.8228,7.50611,-527.601,1
-67.7703,7.47286,-527.94,1
-67.6722,7.45456,-527.869,1
-67.5662,7.47891,-528.286,1
-67.5113,7.47513,-527.719,1
-67.6015,7.38357,-527.338,1
-67.6912,7.31794,-528.056,1
-67.8337,7.34733,-528.446,1
-67.749,7.39465,-527.391,1
-67.7603,7.42494,-527.289,1
-67.7688,7.49284,-527.757,1
-67.7681,7.47502,-527.886,1
-67.7713,7.50467,-527.902,1
-67.761,7.31031,-528.428,1
-67.6545,7.18192,-527.089,1
-67.656,7.118,-528.385,1
-67.5417,7.11219,-527.457,1
-67.6476,7.14502,-528.233,1
-67.503,7.12292,-526.886,1
-67.5984,7.20631,-527.932,1
-67.6359,7.30775,-528.576,1
-67.5028,7.2765,-527.095,1
-67.4928,7.2894,-527.644,1
-67.4866,7.35529,-527.994,1
-67.414,7.38003,-527.478,1
-67.3736,7.38664,-527.146,1
-67.45,7.3836,-527.526,1
-67.4211,7.34177,-527.389,1
-67.3744,7.41049,-527.694,1
-67.3192,7.35965,-527.593,1
-67.2446,7.29969,-528.236,1
-67.0543,7.32562,-527.199,1
-67.2553,7.24323,-528.017,1
-67.3015,7.19615,-527.473,1
-67.3555,7.16805,-527.91,1
-67.3642,7.21124,-528.118,1
-67.398,7.11052,-527.703,1
-67.3774,7.17898,-527.632,1
-67.742,7.44824,-527.927,1
-68.1258,7.64518,-527.038,1
-68.7496,7.99014,-527.295,1
-69.436,8.28364,-526.389,1
-70.2322,8.63429,-526.744,1
-71.0375,9.12594,-527.849,1
-71.2743,9.64132,-525.914,1
-71.4581,9.89808,-526.017,1
-71.4152,10.1022,-525.804,1
-71.7586,10.2745,-526.283,1
-71.9515,10.376,-526.807,1
-72.2171,10.7385,-526.768,1
-72.6257,10.9076,-526.823,1
-72.9278,11.1764,-527.556,1
-73.1139,11.1215,-526.543,1
-73.305,11.1773,-527.185,1
-73.6083,11.4431,-528.449,1
-73.719,11.3913,-528.571,1
-73.686,11.4254,-528.276,1
-73.6763,11.4686,-528.917,1
-73.6586,11.4209,-528.709,1
-73.4996,11.4292,-528.861,1
-73.4319,11.329,-529.414,1
-73.2691,11.2533,-529.114,1
-73.1101,11.349,-528.966,1
-72.8846,11.3269,-528.612,1
-72.8572,11.3947,-528.364,1
-72.5588,11.6535,-527.368,1
-72.507,11.6248,-527.785,1
-72.4199,11.7052,-527.955,1
-72.3642,11.6812,-528.155,1
-72.3313,11.5649,-528.158,1
-72.3662,11.5441,-528.709,1
-72.3739,11.5424,-528.755,1
-72.4451,11.4549,-528.125,1
-72.4803,11.3486,-528.11,1
-72.4643,11.3155,-527.676,1
-72.4577,11.1294,-528.467,1
-72.421,11.0407,-528.133,1
-72.4553,10.9489,-528.892,1
-72.3141,10.8566,-527.15,1
-72.3605,10.8133,-528.485,1
-72.0508,10.8191,-528.598,1
-71.7123,10.4767,-527.41,1
-70.6463,10.1067,-527.64,1
-68.5565,9.33986,-527.135,1
-67.6621,8.95798,-527.196,1
-66.8974,8.76939,-528.244,1
-66.2833,8.43776,-528.101,1
-66.1007,8.35317,-527.588,1
-65.894,8.29471,-527.923,1
-65.7965,8.29123,-527.594,1
-65.7146,8.25788,-528.23,1
-65.5157,8.17288,-527.809,1
-65.1725,8.164,-527.139,1
-65.1363,8.11487,-527.854,1
-64.8188,8.10555,-527.672,1
-64.502,7.95214,-527.357,1
-64.1526,7.73741,-527.613,1
-63.6311,7.65709,-527.089,1
-63.1122,7.64334,-528.129,1
-62.4046,7.65974,-527.497,1
-61.6061,7.42134,-529.566,1
-60.6499,7.35406,-529.586,1
-60.041,7.28753,-528.216,1
-59.8395,7.60414,-529.159,1
-59.3848,7.5827,-529.052,1
-59.141,7.57531,-528.742,1
-59.0099,7.41092,-528.999,1
-58.2727,7.37208,-528.502,1
-57.9797,7.5474,-529.59,1
-58.1135,7.59757,-528.53,1
-58.4029,7.56341,-528.239,1
-58.7774,7.85694,-528.504,1
-58.7576,8.15879,-528.761,1
-58.7534,8.20446,-529.252,1
-58.6507,8.34334,-529.343,1
-58.6151,8.46446,-528.967,1
-58.7131,8.35689,-529.639,1
-58.7058,8.46627,-529.267,1
-58.8487,8.40438,-530.395,1
-58.8129,8.29823,-529.14,1
-58.7518,8.4277,-529.779,1
-58.6851,8.52821,-530.345,1
-58.6433,8.61481,-530.306,1
-58.5903,8.63374,-530.808,1
-58.5601,8.5462,-530.661,1
-58.4519,8.46772,-529.637,1
-58.5082,8.5884,-529.95,1
-58.6062,8.744,-531.007,1
-58.6546,8.68796,-531.321,1
-58.62,8.65299,-529.535,1
-58.623,8.72884,-530.022,1
-58.5499,8.79836,-529.657,1
-58.5232,8.86506,-529.596,1
-58.3795,8.83267,-529.81,1
-58.4647,8.85248,-530.269,1
-58.4943,8.7258,-529.36,1
-58.5517,8.75919,-529.359,1
-58.5393,8.67198,-528.865,1
-58.4697,8.63284,-528.844,1
-58.4211,8.46301,-528.596,1
-58.3961,8.43877,-528.94,1
-58.2872,8.34774,-528.427,1
-58.321,8.3993,-529.095,1
-58.2006,8.33796,-527.381,1
-58.4316,8.39349,-528.59,1
-58.2662,8.63369,-528.271,1
-58.2008,8.35706,-528.65,1
-58.0566,8.47901,-527.384,1
-58.1476,8.72396,-528.273,1
-58.2214,8.80257,-528.483,1
-58.383,9.06712,-528.88,1
-58.3411,9.05235,-527.603,1
-58.3923,9.20241,-528.417,1
-58.4096,9.18999,-526.661,1
-58.6402,9.15616,-528.885,1
-58.6624,9.11747,-527.817,1
-58.7793,8.98432,-528.624,1
-58.9333,8.87638,-528.777,1
-58.9844,8.64372,-528.069,1
