 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
1,251,255,255,255,986.755,279.428,986.755,279.428,1
2,107,255,255,255,1056.341,293.005,1056.341,293.005,1
3,304,255,255,255,1081.161,353.714,1081.161,353.714,1
4,248,255,255,255,809.383,359.867,809.383,359.867,1
5,242,255,255,255,903.603,383.624,903.603,383.624,1
6,275,255,255,255,1202.707,415.478,1202.707,415.478,1
7,266,255,255,255,716.368,438.150,716.368,438.150,1
8,230,255,255,255,876.004,440.574,876.004,440.574,1
9,439,255,255,255,895.113,502.022,895.113,502.022,1
10,286,255,255,255,1093.773,515.853,1093.773,515.853,1
11,194,255,255,255,807.680,519.103,807.680,519.103,1
12,115,255,255,255,1068.352,591.604,1068.352,591.604,1
13,239,255,255,255,988.278,603.010,988.278,603.010,1
14,232,255,255,255,986.582,279.375,986.582,279.375,2
15,107,255,255,255,1056.332,292.799,1056.332,292.799,2
16,324,255,255,255,1080.954,353.731,1080.954,353.731,2
17,245,255,255,255,809.467,359.598,809.467,359.598,2
18,242,255,255,255,904.112,383.554,904.112,383.554,2
19,273,255,255,255,1202.676,415.317,1202.676,415.317,2
20,264,255,255,255,716.311,437.837,716.311,437.837,2
21,248,255,255,255,876.089,440.508,876.089,440.508,2
22,450,255,255,255,895.391,501.664,895.391,501.664,2
23,286,255,255,255,1094.035,515.832,1094.035,515.832,2
24,191,255,255,255,807.851,519.416,807.851,519.416,2
25,109,255,255,255,1067.830,591.922,1067.830,591.922,2
26,227,255,255,255,988.474,603.126,988.474,603.126,2
27,5,255,255,255,1033.500,657.500,1033.500,657.500,2
28,231,255,255,255,986.764,279.331,986.764,279.331,3
29,102,255,255,255,1056.039,292.853,1056.039,292.853,3
30,313,255,255,255,1081.056,353.845,1081.056,353.845,3
31,239,255,255,255,809.487,359.600,809.487,359.600,3
32,246,255,255,255,903.947,383.492,903.947,383.492,3
33,276,255,255,255,1202.482,415.225,1202.482,415.225,3
34,266,255,255,255,716.308,438.180,716.308,438.180,3
35,248,255,255,255,876.194,440.673,876.194,440.673,3
36,441,255,255,255,895.276,501.806,895.276,501.806,3
37,274,255,255,255,1093.960,516.734,1093.960,516.734,3
38,197,255,255,255,807.586,519.510,807.586,519.510,3
39,85,255,255,255,1067.441,592.559,1067.441,592.559,3
40,226,255,255,255,988.217,603.186,988.217,603.186,3
41,230,255,255,255,986.435,279.230,986.435,279.230,4
42,88,255,255,255,1056.011,292.375,1056.011,292.375,4
43,316,255,255,255,1080.820,353.484,1080.820,353.484,4
44,239,255,255,255,809.634,359.634,809.634,359.634,4
45,247,255,255,255,903.755,383.634,903.755,383.634,4
46,271,255,255,255,1202.559,415.208,1202.559,415.208,4
47,277,255,255,255,716.161,437.969,716.161,437.969,4
48,240,255,255,255,876.162,440.567,876.162,440.567,4
49,436,255,255,255,895.204,501.812,895.204,501.812,4
50,291,255,255,255,1093.923,515.593,1093.923,515.593,4
51,192,255,255,255,807.536,519.427,807.536,519.427,4
52,100,255,255,255,1068.100,591.410,1068.100,591.410,4
53,231,255,255,255,988.487,602.825,988.487,602.825,4
54,232,255,255,255,987.091,279.332,987.091,279.332,5
55,79,255,255,255,1056.209,292.222,1056.209,292.222,5
56,329,255,255,255,1080.983,353.540,1080.983,353.540,5
57,249,255,255,255,809.725,359.777,809.725,359.777,5
58,243,255,255,255,904.455,383.418,904.455,383.418,5
59,271,255,255,255,1202.467,414.972,1202.467,414.972,5
60,276,255,255,255,716.384,438.054,716.384,438.054,5
61,241,255,255,255,876.454,440.720,876.454,440.720,5
62,439,255,255,255,895.265,501.785,895.265,501.785,5
63,284,255,255,255,1093.859,515.863,1093.859,515.863,5
64,204,255,255,255,807.480,519.706,807.480,519.706,5
65,106,255,255,255,1069.274,590.811,1069.274,590.811,5
66,237,255,255,255,988.517,602.871,988.517,602.871,5
67,229,255,255,255,986.644,279.413,986.644,279.413,6
68,97,255,255,255,1056.448,292.809,1056.448,292.809,6
69,312,255,255,255,1081.173,353.651,1081.173,353.651,6
70,244,255,255,255,809.541,359.754,809.541,359.754,6
71,239,255,255,255,903.927,383.287,903.927,383.287,6
72,277,255,255,255,1202.572,415.403,1202.572,415.403,6
73,286,255,255,255,716.364,437.783,716.364,437.783,6
74,239,255,255,255,876.249,440.718,876.249,440.718,6
75,442,255,255,255,895.335,501.801,895.335,501.801,6
76,288,255,255,255,1093.917,515.865,1093.917,515.865,6
77,205,255,255,255,807.768,519.461,807.768,519.461,6
78,94,255,255,255,1068.372,591.436,1068.372,591.436,6
79,231,255,255,255,988.400,602.786,988.400,602.786,6
80,239,255,255,255,986.885,279.262,986.885,279.262,7
81,93,255,255,255,1055.952,292.231,1055.952,292.231,7
