x,y,success
804.083,257.1,1
804.221,257.111,1
803.892,257.024,1
804.367,257.506,1
804.046,257.289,1
804.108,257.981,1
804.285,258.249,1
804.249,259.052,1
804.196,259.959,1
804.97,261.29,1
805.713,263.495,1
806.329,265.588,1
807.264,267.816,1
807.688,269.188,1
808.407,271.438,1
808.953,273.975,1
809.83,277.214,1
810.531,280.966,1
811.884,284.927,1
813.088,289.41,1
813.867,293.528,1
815.098,298.234,1
815.794,302.238,1
816.943,306.892,1
818.059,312.309,1
819.005,316.98,1
820.008,321.718,1
821.261,325.5,1
821.911,328.859,1
822.792,332.373,1
823.154,335.893,1
823.42,339.415,1
824.354,343.198,1
824.896,346.739,1
825.627,350.307,1
826.295,354.316,1
826.747,358.227,1
828.548,362.706,1
829.856,367.381,1
831.179,371.801,1
831.921,376.49,1
833.135,381.256,1
834.317,386.238,1
835.17,391.254,1
836.702,396.148,1
837.793,401.473,1
839.392,406.532,1
840.25,410.755,1
841.058,413.959,1
841.997,417.444,1
842.295,420.942,1
843.187,425.215,1
843.028,429.443,1
843.622,434.644,1
843.903,440.273,1
844.122,445.956,1
843.558,451.716,1
843.997,457.464,1
843.523,462.472,1
843.829,467.338,1
843.58,471.684,1
843.583,475.881,1
843.807,479.801,1
843.377,483.685,1
843.242,487.973,1
842.994,492.315,1
842.254,495.885,1
842.211,499.65,1
841.849,502.884,1
841.383,506.26,1
840.86,510.037,1
840.02,514.529,1
839.644,519.523,1
838.937,524.159,1
838.332,529.465,1
837.574,533.746,1
836.655,537.552,1
836.208,540.387,1
835.913,543.398,1
835.331,545.944,1
835.21,548.056,1
834.781,549.313,1
834.53,550.102,1
834.314,549.794,1
834.725,549.494,1
834.599,549.085,1
834.742,548.282,1
834.944,547.624,1
835.2,546.818,1
835.214,545.997,1
835.558,545.447,1
835.686,544.587,1
835.47,543.205,1
836.186,541.511,1
836.944,540.096,1
837.436,537.983,1
837.935,535.884,1
838.699,532.833,1
839.653,529.799,1
840.205,526.841,1
840.887,523.831,1
841.35,520.893,1
841.961,517.928,1
843.084,514.407,1
844.038,509.839,1
844.796,504.76,1
845.643,499.624,1
846.543,494.5,1
847.699,489.157,1
848.443,482.814,1
849.22,475.851,1
849.717,469.047,1
850.204,462.429,1
850.756,455.78,1
851.523,448.934,1
852.171,441.823,1
852.39,435.187,1
852.525,428.744,1
852.966,422.34,1
852.583,415.881,1
852.706,409.597,1
853.096,403.583,1
852.735,397.343,1
852.364,391.133,1
852.638,385.89,1
852.203,380.209,1
852.311,374.528,1
851.694,368.926,1
851.37,363.097,1
850.812,357.825,1
850.545,352.247,1
850.016,346.958,1
849.176,342.189,1
847.994,337.321,1
847.401,332.308,1
846.234,327.63,1
844.84,322.527,1
843.712,317.308,1
842.453,311.467,1
841.557,305.405,1
840.035,298.152,1
838.662,291.289,1
835.916,283.755,1
834.458,276.038,1
832.954,268.457,1
830.815,261.465,1
828.783,253.831,1
827.284,247.918,1
826.205,241.725,1
824.673,237.012,1
823.147,232.59,1
822.107,228.143,1
819.924,224.052,1
817.5,219.996,1
816.311,216.05,1
815.36,212.469,1
813.729,208.996,1
812.026,204.569,1
810.138,199.474,1
809.875,194.509,1
807.038,189.066,1
806.026,183.273,1
803.816,177.327,1
802.216,170.626,1
798.921,164.547,1
796.706,158.727,1
795.329,152.697,1
793.122,147.061,1
790.338,141.362,1
788.276,135.406,1
787.355,129.419,1
782.686,123.186,1
780.375,117.516,1
777.789,111.737,1
774.061,105.134,1
770.384,99.57,1
765.386,93.773,1
763.667,87.542,1
760.441,80.765,1
757.917,75.083,1
750,69,1
750,69,0
750,69,0
742.5,53.5,1
741.5,48.5,1
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
741.5,48.5,0
757.925,38.605,1
754.892,33.946,1
752.615,30.069,1
749.531,17.79,1
748.398,14.889,1
746.029,13.529,1
745.481,12.561,1
745.481,12.561,0
745.481,12.561,0
745.481,12.561,0
745.481,12.561,0
745.481,12.561,0
745.481,12.561,0
745.481,12.561,0
744.963,12.695,1
745.575,12.761,1
746.559,13.502,1
