 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
100,3,255,255,255,757.500,474.500,757.500,474.500,6
101,7,255,255,255,765.357,474.929,765.357,474.929,6
102,35,255,255,255,761.557,482.614,761.557,482.614,6
103,274,255,255,255,754.084,536.599,754.084,536.599,6
104,131,255,255,255,807.553,542.439,807.553,542.439,6
105,2,255,255,255,404,142.500,404,142.500,7
106,287,255,255,255,747.733,253.420,747.733,253.420,7
107,195,255,255,255,804.285,258.249,804.285,258.249,7
108,26,255,255,255,755.654,307.769,755.654,307.769,7
109,201,255,255,255,566.749,321.500,566.749,321.500,7
110,3,255,255,255,750.500,320.500,750.500,320.500,7
111,4,255,255,255,757.750,327.500,757.750,327.500,7
112,372,255,255,255,642.102,351.048,642.102,351.048,7
113,256,255,255,255,813.637,367.895,813.637,367.895,7
114,388,255,255,255,958.680,392.399,958.680,392.399,7
115,258,255,255,255,498.023,405.748,498.023,405.748,7
116,251,255,255,255,627.412,408.341,627.412,408.341,7
117,328,255,255,255,815.829,440.119,815.829,440.119,7
118,251,255,255,255,651.129,456.616,651.129,456.616,7
119,13,255,255,255,757.885,471.346,757.885,471.346,7
120,255,255,255,255,569.018,479.955,569.018,479.955,7
121,61,255,255,255,761.238,480.861,761.238,480.861,7
122,256,255,255,255,753.820,537.070,753.820,537.070,7
123,128,255,255,255,807.422,542.750,807.422,542.750,7
124,6,255,255,255,404.500,138,404.500,138,8
125,301,255,255,255,747.759,253.839,747.759,253.839,8
126,183,255,255,255,804.249,259.052,804.249,259.052,8
127,7,255,255,255,757.643,304.071,757.643,304.071,8
128,215,255,255,255,566.672,321.788,566.672,321.788,8
129,1,255,255,255,758.500,326.500,758.500,326.500,8
130,16,255,255,255,758.125,330.500,758.125,330.500,8
131,360,255,255,255,642.122,351.572,642.122,351.572,8
132,264,255,255,255,813.473,368.492,813.473,368.492,8
133,387,255,255,255,958.611,392.911,958.611,392.911,8
134,262,255,255,255,497.412,405.870,497.412,405.870,8
135,231,255,255,255,627.379,408.686,627.379,408.686,8
136,330,255,255,255,815.630,440.827,815.630,440.827,8
137,257,255,255,255,651.718,456.998,651.718,456.998,8
138,35,255,255,255,761.729,470.043,761.729,470.043,8
139,242,255,255,255,568.207,480.194,568.207,480.194,8
140,28,255,255,255,760.250,487.036,760.250,487.036,8
141,265,255,255,255,753.553,537.545,753.553,537.545,8
142,136,255,255,255,806.779,543.676,806.779,543.676,8
143,2,255,255,255,424,139.500,424,139.500,9
144,303,255,255,255,747.913,254.665,747.913,254.665,9
145,181,255,255,255,804.196,259.959,804.196,259.959,9
146,208,255,255,255,566.663,322.135,566.663,322.135,9
147,1,255,255,255,749.500,320.500,749.500,320.500,9
148,372,255,255,255,642.234,351.892,642.234,351.892,9
149,254,255,255,255,813.244,369.591,813.244,369.591,9
150,383,255,255,255,958.777,393.662,958.777,393.662,9
151,268,255,255,255,497.881,405.899,497.881,405.899,9
152,214,255,255,255,627.561,408.907,627.561,408.907,9
153,326,255,255,255,815.469,441.635,815.469,441.635,9
154,232,255,255,255,652.177,457.978,652.177,457.978,9
155,247,255,255,255,568.374,480.682,568.374,480.682,9
156,43,255,255,255,761.012,485.151,761.012,485.151,9
157,267,255,255,255,753.380,538.515,753.380,538.515,9
158,129,255,255,255,806.826,544.399,806.826,544.399,9
159,303,255,255,255,748.358,255.863,748.358,255.863,10
160,181,255,255,255,804.970,261.290,804.970,261.290,10
161,38,255,255,255,756.974,314.184,756.974,314.184,10
